city1,city2,transit_distance [m]_x,transit_time [s]_x,departure city,arrival city,transit_distance [m]_y,transit_time [s]_y
Alicante,Barcelona,449965,28800,Alicante,Barcelona,461047,27900
Malaga,Barcelona,1049384,36900,Malaga,Barcelona,1049384,36900
Bologna,Barcelona,1305498,62700,Bologna,Barcelona,1305498,62700
Bordeaux,Barcelona,-1,-1,Bordeaux,Barcelona,-1,-1
Cagliari,Barcelona,-1,-1,Cagliari,Barcelona,-1,-1
Charleroi,Barcelona,1435393,58500,Charleroi,Barcelona,1356773,39660
Gothenburg,Barcelona,2498700,120360,Gothenburg,Barcelona,2498700,120360
Maastricht,Barcelona,1487093,61565,Maastricht,Barcelona,1631994,59400
Bilbao,Barcelona,508671,30600,Bilbao,Barcelona,961165,29400
Bristol,Barcelona,1694441,68160,Bristol,Barcelona,1808468,51900
Budapest,Barcelona,-1,-1,Budapest,Barcelona,-1,-1
Paris,Barcelona,834126,47710,Paris,Barcelona,834126,47710
Paris,Barcelona,834126,47710,Paris,Barcelona,1053748,29220
Barcelona,Malaga,1041588,39420,Barcelona,Malaga,1041588,39420
Bordeaux,Malaga,1251761,48080,Bordeaux,Malaga,1234729,48290
Gothenburg,Malaga,3640736,145200,Gothenburg,Malaga,3640736,145200
Hamburg,Malaga,2722744,113700,Hamburg,Malaga,2722744,113700
Bournemouth,Malaga,2362596,100500,Bournemouth,Malaga,2362596,100500
Bristol,Malaga,2809474,93600,Bristol,Malaga,2378675,94920
Budapest,Malaga,3319175,119940,Budapest,Malaga,3319175,119940
Paris,Malaga,1603347,69120,Paris,Malaga,1603347,69120
Paris,Malaga,1603347,69120,Paris,Malaga,1603347,69120
Bilbao,Paris,951215,36900,Bilbao,Paris,887156,25320
Munich,Paris,860458,28920,Munich,Paris,819687,31200
Bristol,Alicante,2220310,92400,Bristol,Alicante,-1,-1
Bristol,Alicante,2220310,92400,Bristol,Alicante,-1,-1
Liverpool,Alicante,-1,-1,Liverpool,Alicante,-1,-1
Belfast,Alicante,2972959,124080,Belfast,Alicante,2959782,126885
Bari,Rome,575170,27900,Bari,Rome,485231,20700
Budapest,Rome,1167179,46140,Budapest,Rome,1167179,46140
Charleroi,Rome,1549691,67260,Charleroi,Rome,1686432,74700
Craiova,Bologna,-1,-1,Craiova,Bologna,-1,-1
Budapest,Bologna,812679,38940,Budapest,Bologna,812679,38940
Paris,Bologna,971526,44940,Paris,Bologna,971526,44940
Bari,Charleroi,2057811,75660,Bari,Charleroi,2011192,78604
Budapest,Charleroi,1484023,62040,Budapest,Charleroi,1484023,62040
Alicante,Warsaw,3183016,128220,Alicante,Warsaw,3183016,128220
Bari,Warsaw,2053251,105484,Bari,Warsaw,2053251,105484
Budapest,Warsaw,689288,35580,Budapest,Warsaw,689288,35580
Bilbao,Munich,1860587,61080,Bilbao,Munich,1760967,50220
Bremen,Munich,769214,27960,Bremen,Munich,964184,30120
Alicante,Bristol,2281069,81180,Alicante,Bristol,2281069,81180
Budapest,Bristol,-1,-1,Budapest,Bristol,-1,-1
Bratislava,Luton,1926808,70920,Bratislava,Luton,1926808,70920
Budapest,Luton,-1,-1,Budapest,Luton,-1,-1
Bydgoszcz,Luton,1717263,66600,Bydgoszcz,Luton,1717263,66600
Alicante,Gothenburg,-1,-1,Alicante,Gothenburg,-1,-1
Paris,Gothenburg,1709478,78840,Paris,Gothenburg,1783002,81600
Bristol,Poznan,1612685,60060,Bristol,Poznan,1709331,60350
Alicante,Hamburg,2684100,98880,Alicante,Hamburg,2684100,98880
Belfast,Geneva,1743461,76140,Belfast,Geneva,1779202,83745
Belfast,Geneva,1743461,76140,Belfast,Geneva,1779202,83745
Barcelona,Bordeaux,650419,41100,Barcelona,Bordeaux,650419,41100
Paris,Bordeaux,504695,26100,Paris,Bordeaux,498866,24600
Malaga,Bergen,4329836,198720,Malaga,Bergen,4329836,198720
Budapest,Prague,531355,22800,Budapest,Prague,531355,22800
Bari,Budapest,1423754,73804,Bari,Budapest,1423754,73804
Budapest,Catania,1903462,81185,Budapest,Catania,1903462,81185
Belfast,Liverpool,-1,-1,Belfast,Liverpool,-1,-1
Budapest,Marseille,-1,-1,Budapest,Marseille,-1,-1
Sochi,Kazan,4588313,181920,Sochi,Kazan,4588313,181920
Sochi,Cherepovets,-1,-1,Sochi,Cherepovets,-1,-1
Bratislava,Kaunas,1085758,63265,Bratislava,Kaunas,1085758,63265
Sochi,Krasnoyarsk,9959629,360180,Sochi,Krasnoyarsk,9959629,360180
Sochi,Perm,5660343,209520,Sochi,Perm,5660343,209520
Sochi,Pskov,3893856,161358,Sochi,Pskov,3893856,161358
Alicante,Maastricht,2031763,76260,Alicante,Maastricht,2031763,76260
Copenhagen,Aarhus,314916,17760,Copenhagen,Aarhus,314916,17760
Copenhagen,Aarhus,314916,17760,Copenhagen,Aarhus,314916,17760
Copenhagen,Paris,1526162,63480,Copenhagen,Paris,1526162,63480
Dusseldorf,Paris,563981,33000,Dusseldorf,Paris,525306,33540
Rome,Paris,1472545,56580,Rome,Paris,1414812,56580
Rome,Paris,1472545,56580,Rome,Paris,1414812,56580
Rome,Paris,1472545,56580,Rome,Paris,1414812,56580
Rome,Paris,1472545,56580,Rome,Paris,1414812,56580
Copenhagen,Malaga,3327758,117720,Copenhagen,Malaga,3327758,117720
Eindhoven,Malaga,2533381,83280,Eindhoven,Malaga,-1,-1
Rome,Malaga,2687560,124800,Rome,Malaga,2728316,97860
Copenhagen,Munich,1315701,49200,Copenhagen,Munich,1315701,49200
Dusseldorf,Munich,660970,26940,Dusseldorf,Munich,699763,24120
Rome,Munich,910221,42600,Rome,Munich,910081,32820
Geneva,Munich,597482,34800,Geneva,Munich,597482,34800
Rome,Barcelona,-1,-1,Rome,Barcelona,1378395,76500
Granada,Barcelona,1033665,38400,Granada,Barcelona,958584,27000
Geneva,Barcelona,793406,34260,Geneva,Barcelona,793406,34260
Copenhagen,Gothenburg,300390,15480,Copenhagen,Gothenburg,339564,27360
Malaga,Gothenburg,3637487,147900,Malaga,Gothenburg,3637487,147900
Bergen,Gothenburg,748233,41700,Bergen,Gothenburg,748233,41700
Geneva,Gothenburg,2022864,88200,Geneva,Gothenburg,1910823,84000
Copenhagen,Budapest,1874267,75720,Copenhagen,Budapest,1874267,75720
Dortmund,Budapest,1265539,55500,Dortmund,Budapest,1315128,47820
Eindhoven,Budapest,1386390,61380,Eindhoven,Budapest,1380479,57780
Rome,Budapest,1248839,62400,Rome,Budapest,1279337,66660
Barcelona,Charleroi,1448802,50580,Barcelona,Charleroi,1448802,50580
Rome,Charleroi,1843536,68700,Rome,Charleroi,1769203,67860
Catania,Charleroi,2673604,95032,Catania,Charleroi,2533878,93892
Copenhagen,Alicante,3345152,113700,Copenhagen,Alicante,3345152,113700
Eindhoven,Alicante,2324171,81540,Eindhoven,Alicante,-1,-1
Copenhagen,Geneva,1682227,71220,Copenhagen,Geneva,1682227,71220
Geneva,Bristol,1112054,49380,Geneva,Bristol,1241560,46860
Copenhagen,Hamburg,507800,25800,Copenhagen,Hamburg,504934,25560
Malaga,Hamburg,2778379,109200,Malaga,Hamburg,2778379,109200
Catania,Bologna,1155953,43012,Catania,Bologna,1080829,38880
Rome,Bologna,376814,12000,Rome,Bologna,373928,16800
Copenhagen,Vienna,1626575,63600,Copenhagen,Vienna,1626575,63600
Dusseldorf,Vienna,974869,43500,Dusseldorf,Vienna,961800,40740
Rome,Vienna,1136656,57300,Rome,Vienna,1243361,59100
Copenhagen,Zurich,1544224,64800,Copenhagen,Zurich,1544224,64800
Dusseldorf,Zurich,684854,29100,Dusseldorf,Zurich,684854,29100
Rome,Zurich,876478,36600,Rome,Zurich,807072,44820
Catania,Prague,-1,-1,Catania,Prague,1960162,91372
Rome,Prague,1295895,63300,Rome,Prague,1421761,70860
Debrecen,Luton,2061613,75660,Debrecen,Luton,2061613,75660
Copenhagen,Salzburg,1463282,56520,Copenhagen,Salzburg,1463282,56520
Eindhoven,Salzburg,976892,55740,Eindhoven,Salzburg,976657,57416
Geneva,Liverpool,-1,-1,Geneva,Liverpool,-1,-1
Rome,Warsaw,1839285,84420,Rome,Warsaw,1965292,92760
Rome,Poznan,1819781,74460,Rome,Poznan,1822311,66830
Dusseldorf,Chisinau,2008838,116554,Dusseldorf,Chisinau,2008838,116554
Rome,Chisinau,2222433,136894,Rome,Chisinau,-1,-1
Copenhagen,Oslo,558093,28680,Copenhagen,Oslo,733959,43260
Dortmund,Vilnius,1564667,69660,Dortmund,Vilnius,1564667,69660
Eindhoven,Vilnius,1697445,103723,Eindhoven,Vilnius,1767367,83383
Geneva,Southampton,1046917,48840,Geneva,Southampton,1180417,46620
Bologna,Craiova,1634934,104047,Bologna,Craiova,1634934,104047
Charleroi,Craiova,2130903,130447,Charleroi,Craiova,2112787,102247
Dortmund,Rome,1456235,54600,Dortmund,Rome,1456235,54600
Iasi,Rome,2446133,130485,Iasi,Rome,2446133,130485
Rome,Nice,882809,42240,Rome,Nice,659728,42960
Rome,Palermo,932007,39920,Rome,Palermo,880193,45900
Rome,Marseille,-1,-1,Rome,Marseille,-1,-1
Rome,Valencia,1718298,93660,Rome,Valencia,1718298,93660
Dusseldorf,Copenhagen,764787,37620,Dusseldorf,Copenhagen,764787,37620
Copenhagen,Riga,1396208,107100,Copenhagen,Riga,2064589,104340
Dortmund,Olsztyn,1107875,55980,Dortmund,Olsztyn,1160239,61860
Copenhagen,Kaunas,1776335,97221,Copenhagen,Kaunas,1776335,97221
Eindhoven,Debrecen,1602048,71640,Eindhoven,Debrecen,1602035,86400
Rome,Cagliari,467881,52380,Rome,Cagliari,467881,52380
Rome,Cagliari,467881,52380,Rome,Cagliari,467881,52380
Rome,Cagliari,467881,52380,Rome,Cagliari,467881,52380
Rome,Catania,812622,35107,Rome,Catania,769576,39300
Rome,Eindhoven,1591024,67560,Rome,Eindhoven,1546913,71160
Geneva,Bournemouth,1093048,50700,Geneva,Bournemouth,1226548,48900
Liverpool,Barcelona,-1,-1,Liverpool,Barcelona,-1,-1
Luton,Barcelona,1549673,61320,Luton,Barcelona,1549673,61320
Chisinau,Paris,2656379,143186,Chisinau,Paris,2597046,123754
Montpellier,Paris,685655,24840,Montpellier,Paris,685655,24840
Marseille,Paris,768333,29416,Marseille,Paris,770369,32056
Marseille,Paris,768333,29416,Marseille,Paris,770369,32056
Marseille,Paris,768333,29416,Marseille,Paris,770369,32056
Marseille,Paris,768333,29416,Marseille,Paris,770369,32056
Luton,Malaga,2664706,86760,Luton,Malaga,2664706,86760
Marseille,Malaga,1550556,48360,Marseille,Malaga,1550556,48360
Malmo,Stockholm,596149,24780,Malmo,Stockholm,596273,16560
Malmo,Stockholm,596149,24780,Malmo,Stockholm,596273,16560
Luton,Geneva,984878,43200,Luton,Geneva,984878,43200
Marseille,Alicante,938395,48480,Marseille,Alicante,938395,48480
Lublin,Luton,1916809,75497,Lublin,Luton,1916809,75497
Innsbruck,Vienna,501046,18840,Innsbruck,Vienna,501046,18840
Luton,Belfast,879925,54660,Luton,Belfast,879925,54660
Marseille,Charleroi,1145267,39376,Marseille,Charleroi,1145267,39376
Marseille,Budapest,1542302,75355,Marseille,Budapest,1529588,75120
Kazan,Samara,-1,-1,Kazan,Samara,-1,-1
Kosice,Prague,730901,30480,Kosice,Prague,762175,37560
Luton,Wroclaw,1581289,76500,Luton,Wroclaw,1581289,76500
Alicante,Liverpool,-1,-1,Alicante,Liverpool,-1,-1
Luton,Vilnius,2283550,111763,Luton,Vilnius,2340837,101083
Innsbruck,Bristol,1942814,64200,Innsbruck,Bristol,-1,-1
Luton,Iasi,2587092,154107,Luton,Iasi,2587092,154107
Marseille,Nantes,1188649,40516,Marseille,Nantes,1188649,40516
Munich,Barcelona,1537928,55860,Munich,Barcelona,1537928,55860
Nice,Barcelona,672651,32880,Nice,Barcelona,672651,32880
Paris,Barcelona,834126,47710,Paris,Barcelona,834126,47710
Paris,Barcelona,834126,47710,Paris,Barcelona,1053748,29220
Palermo,Barcelona,1661325,126180,Palermo,Barcelona,2454630,114140
Prague,Barcelona,2164088,63060,Prague,Barcelona,2404244,78720
Sofia,Barcelona,2501740,134820,Sofia,Barcelona,2501740,134820
Munich,Malaga,2648382,81300,Munich,Malaga,2648382,81300
Paris,Malaga,1603347,69120,Paris,Malaga,1603347,69120
Paris,Malaga,1603347,69120,Paris,Malaga,1603347,69120
Oslo,Malaga,3944068,156420,Oslo,Malaga,3959506,167460
Prague,Malaga,3274542,88500,Prague,Malaga,-1,-1
Rotterdam,Malaga,2271941,78420,Rotterdam,Malaga,2271941,78420
Munich,Valencia,1890955,72420,Munich,Valencia,1890955,72420
Paris,Valencia,1134635,64630,Paris,Valencia,1458174,65820
Palermo,Valencia,2024250,141180,Palermo,Valencia,2805550,129560
Munich,Thessaloniki,1592447,95820,Munich,Thessaloniki,1592447,95820
Nuremberg,Thessaloniki,1681447,99240,Nuremberg,Thessaloniki,1681447,99240
Stuttgart,Thessaloniki,1886166,103800,Stuttgart,Thessaloniki,1886166,103800
Nice,Zurich,650132,41520,Nice,Zurich,650132,41520
Oslo,Zurich,2085052,83100,Oslo,Zurich,2043961,92400
Oslo,Alicante,3929227,157140,Oslo,Alicante,3955667,222300
Rotterdam,Alicante,-1,-1,Rotterdam,Alicante,2231317,76320
Sofia,Alicante,2959639,163800,Sofia,Alicante,2959639,163800
Alicante,Munich,2497066,85380,Alicante,Munich,2497066,85380
Dresden,Munich,601902,28200,Dresden,Munich,601902,28200
Sibiu,Munich,1244973,64380,Sibiu,Munich,1251282,74880
Sofia,Munich,1421825,82200,Sofia,Munich,1421825,82200
Nice,Paris,940150,35460,Nice,Paris,940150,35460
Oslo,Paris,2080881,81780,Oslo,Paris,2249722,88500
Prague,Paris,1069952,36960,Prague,Paris,1310108,46680
Riga,Vienna,1347911,75900,Riga,Vienna,1454240,78932
Sofia,Vienna,1001505,57600,Sofia,Vienna,1001505,57600
Nantes,Geneva,924501,42240,Nantes,Geneva,926386,22860
Prague,Geneva,988856,46020,Prague,Geneva,998219,51120
Riga,Geneva,2276759,122580,Riga,Geneva,2484750,120272
Palermo,Rome,841446,38240,Palermo,Rome,841446,38240
Sofia,Catania,-1,-1,Sofia,Catania,-1,-1
Sofia,Charleroi,2209512,109740,Sofia,Charleroi,2209512,109740
Munich,Bologna,546693,26100,Munich,Bologna,546693,26100
Palermo,Bologna,1199341,46220,Palermo,Bologna,1199341,46220
Sofia,Eindhoven,2084072,106860,Sofia,Eindhoven,2084072,106860
Riga,Copenhagen,2061673,95160,Riga,Copenhagen,2151985,117452
Sofia,Copenhagen,2262207,120840,Sofia,Copenhagen,2262207,120840
Riga,Salzburg,1659887,86700,Riga,Salzburg,1766006,89732
Rotterdam,Salzburg,1078237,44100,Rotterdam,Salzburg,1078237,44100
Paris,Southampton,525599,38580,Paris,Southampton,525599,38580
Palermo,Nuremberg,1786289,82040,Palermo,Nuremberg,1786289,82040
Riga,Warsaw,695996,42180,Riga,Warsaw,796496,49052
Sofia,Warsaw,1686008,89940,Sofia,Warsaw,1686008,89940
Riga,Bristol,2710123,137820,Riga,Bristol,2814454,133652
Sofia,Bristol,-1,-1,Sofia,Bristol,-1,-1
Sibiu,Luton,-1,-1,Sibiu,Luton,-1,-1
Sofia,Luton,-1,-1,Sofia,Luton,-1,-1
Paris,Nice,943507,39660,Paris,Nice,943507,39660
Sofia,Nice,1757577,101400,Sofia,Nice,1757577,101400
Oslo,Gothenburg,263798,13500,Oslo,Gothenburg,394057,12840
Munich,Hamburg,825097,27720,Munich,Hamburg,957480,36540
Munich,Stuttgart,293719,7800,Munich,Stuttgart,293719,8100
Parma,Cagliari,914342,66780,Parma,Cagliari,914342,66780
Nantes,Marseille,1149919,37598,Nantes,Marseille,1149919,37598
Riga,Vilnius,296757,20115,Riga,Vilnius,296757,20115
Sofia,Varna,619760,42883,Sofia,Varna,460514,35089
Munich,Graz,424433,18900,Munich,Graz,424433,18900
Paris,Montpellier,689348,35760,Paris,Montpellier,616401,36900
Paris,Toulouse,588070,33300,Paris,Toulouse,756050,33960
Paris,Toulouse,588070,33300,Paris,Toulouse,756050,33960
Oslo,Bergen,482204,26640,Oslo,Bergen,482196,23700
Oslo,Bergen,482204,26640,Oslo,Bergen,482196,23700
Oslo,Stavanger,584896,32100,Oslo,Stavanger,584900,27600
Riga,Tallinn,319373,20492,Riga,Tallinn,319373,20492
Vigo,Barcelona,1316211,29820,Vigo,Barcelona,1316211,29820
Vienna,Barcelona,2480790,81960,Vienna,Barcelona,1857080,78840
Warsaw,Barcelona,2796867,101170,Warsaw,Barcelona,2729701,95460
Warsaw,Barcelona,2796867,101170,Warsaw,Barcelona,2729701,95460
Warsaw,Barcelona,2796867,101170,Warsaw,Barcelona,2729701,95460
Warsaw,Barcelona,2796867,101170,Warsaw,Barcelona,2729701,95460
Jerez de la Frontera,Barcelona,-1,-1,Jerez de la Frontera,Barcelona,1180045,24600
Zurich,Barcelona,1072286,60060,Zurich,Barcelona,1181656,37380
Toulouse,Munich,1501464,58380,Toulouse,Munich,1473669,58440
Vienna,Munich,455693,16140,Vienna,Munich,456078,21960
Vilnius,Munich,1736485,66780,Vilnius,Munich,1619490,73800
Warsaw,Munich,1258113,44400,Warsaw,Munich,1209825,53700
Zurich,Munich,570891,29160,Zurich,Munich,392295,25080
Vienna,Paris,1362533,43860,Vienna,Paris,1362143,46680
Warsaw,Paris,1712257,64860,Warsaw,Paris,1650700,53100
Zurich,Paris,583839,33000,Zurich,Paris,819647,33600
Warsaw,Rome,2123477,79080,Warsaw,Rome,1937100,81120
Vienna,Malaga,3076153,124980,Vienna,Malaga,3143554,120300
Vilnius,Malaga,3858754,158040,Vilnius,Malaga,4100218,149640
Warsaw,Malaga,3579983,135900,Warsaw,Malaga,3501771,114360
Wroclaw,Malaga,3292897,117905,Wroclaw,Malaga,3113392,125045
Zurich,Malaga,2175139,85260,Zurich,Malaga,2292110,62820
Salzburg,Hamburg,964647,41520,Salzburg,Hamburg,959022,35100
Varna,Hamburg,2295654,140526,Varna,Hamburg,2287150,132710
Vienna,Hamburg,935616,39420,Vienna,Hamburg,935616,39420
Zurich,Hamburg,1070853,42720,Zurich,Hamburg,964041,40440
Warsaw,Charleroi,1445619,65340,Warsaw,Charleroi,1389264,49140
Tallinn,Geneva,2873025,138000,Tallinn,Geneva,2873025,138000
Vienna,Geneva,1055504,42180,Vienna,Geneva,1055504,42180
Warsaw,Geneva,1717442,68160,Warsaw,Geneva,1808375,81480
Zurich,Geneva,278706,11400,Zurich,Geneva,291573,15000
Stavanger,Bergen,206341,19074,Stavanger,Bergen,206341,19074
Stavanger,Bergen,206341,19074,Stavanger,Bergen,206341,19074
Stavanger,Bergen,206341,19074,Stavanger,Bergen,206341,19074
Trondheim,Bergen,960069,58500,Trondheim,Bergen,1032926,58080
Thessaloniki,Stuttgart,1929406,118860,Thessaloniki,Stuttgart,1929406,118860
Vienna,Stuttgart,749625,25560,Vienna,Stuttgart,749537,32160
Zurich,Stuttgart,454595,20040,Zurich,Stuttgart,243652,13680
Valencia,Bologna,-1,-1,Valencia,Bologna,-1,-1
Zurich,Bologna,498911,24900,Zurich,Bologna,444761,23640
Tampere,Tallinn,273166,17280,Tampere,Tallinn,273166,17280
Vienna,Tallinn,1760512,106560,Vienna,Tallinn,1760512,106560
Warsaw,Tallinn,986254,52980,Warsaw,Tallinn,992148,58260
Vienna,Zurich,781564,31500,Vienna,Zurich,781564,31500
Warsaw,Zurich,1555997,61740,Warsaw,Zurich,1541788,69000
Warsaw,Vilnius,503763,26923,Warsaw,Vilnius,573842,38143
Warsaw,Wroclaw,464684,23040,Warsaw,Wroclaw,359635,19985
Stavanger,Oslo,584836,33060,Stavanger,Oslo,528383,28020
Trondheim,Oslo,469804,28020,Trondheim,Oslo,557465,27660
Zurich,Gothenburg,1789442,73200,Zurich,Gothenburg,1789442,73200
Stavanger,Alicante,3770352,233940,Stavanger,Alicante,3637553,167520
Trondheim,Alicante,4432922,275400,Trondheim,Alicante,4356826,183540
Warsaw,Luton,1884003,73800,Warsaw,Luton,1761255,59760
Wroclaw,Valencia,2549567,107945,Wroclaw,Valencia,2994933,119705
Vienna,Santander,-1,-1,Vienna,Santander,-1,-1
Warsaw,Budapest,939184,47460,Warsaw,Budapest,939184,47460
Warsaw,Prague,785389,40200,Warsaw,Prague,637099,38640
Salzburg,Bristol,1750267,54900,Salzburg,Bristol,1750267,54900
Toulouse,Bordeaux,256701,8460,Toulouse,Bordeaux,256701,8460
Ufa,Sochi,5760985,180660,Ufa,Sochi,5760985,180660
Ufa,Krasnoyarsk,4316816,162060,Ufa,Krasnoyarsk,4316816,162060
