,dep,arr,time
1540,LIN,BRI,85
1541,LIN,MLA,110
1542,LIN,AHO,70
1543,LIN,OLB,70
1544,LIN,AMS,115
1545,LIN,MUC,70
1546,LIN,FRA,80
1547,LIN,NAP,75
1548,LIN,CTA,105
1549,LIN,CAG,85
1550,LIN,PMO,95
1551,LIN,HEL,185
1552,LIN,LHR,115
1553,LIN,MAD,145
1554,LIN,CDG,95
1555,LIN,SUF,100
1556,LIN,BDS,95
1557,LIN,CTA,110
1558,PMF,CAG,80
1559,BLQ,CDG,110
1560,BLQ,TIA,100
1561,BLQ,FRA,90
1562,BLQ,VLC,120
1563,BLQ,PMO,90
1564,BLQ,OTP,125
1565,BLQ,MUC,70
1566,BLQ,LHR,145
1567,BLQ,ATH,135
1568,BLQ,KRK,105
1569,BLQ,ZRH,75
1570,BLQ,MAD,155
1571,BLQ,FCO,60
1572,BLQ,CTA,100
1573,BLQ,BDS,85
1574,BLQ,CTA,105
1575,BLQ,CRA,110
1576,BLQ,BCN,100
1577,BLQ,TIA,95
1578,TSF,MLA,115
1579,TSF,OTP,115
1580,TSF,TIA,90
1581,TSF,MRS,85
1582,TSF,BVA,110
1583,TSF,VLC,130
1584,TSF,CRL,100
1585,TSF,SOF,100
1586,TSF,VIE,75
1587,TRS,NAP,75
1588,TRS,TIA,100
1589,TRS,FCO,65
1590,TRS,STN,135
1591,VRN,TIA,120
1592,VRN,SUF,95
1593,VRN,MAN,145
1594,VRN,WAW,120
1595,VRN,CTA,105
1596,VRN,FCO,60
1597,VRN,CTA,110
1598,VRN,POZ,105
1599,VRN,PMO,90
1600,VRN,STN,130
1601,VRN,BRI,80
1602,VRN,TIA,100
1603,VRN,GDN,125
1604,AOI,FCO,65
1605,VCE,ORY,110
1606,VCE,BCN,115
1607,VCE,FRA,90
1608,VCE,CDG,110
1609,VCE,EDI,175
1610,VCE,CTA,110
1611,VCE,LIS,190
1612,VCE,LHR,140
1613,VCE,SKP,100
1614,VCE,AMS,120
1615,VCE,BRI,80
1616,VCE,STN,135
1617,VCE,PMO,95
1618,VCE,FCO,75
1619,VCE,MUC,65
1620,VCE,MAD,165
1621,VCE,NAP,75
1622,VCE,MAN,145
1623,VCE,BCN,120
1624,VCE,CTA,105
1625,CIA,IAS,140
1626,CIA,OTP,120
1627,CIA,KRK,120
1628,CIA,STN,160
1629,CIA,CLJ,130
1630,CIA,SVQ,165
1631,CIA,WMI,135
1632,CIA,TIA,85
1633,CIA,MAN,175
1634,CIA,CRL,130
1635,CIA,LIS,190
1636,FCO,SCV,145
1637,FCO,AGP,160
1638,FCO,ATH,120
1639,FCO,PMO,70
1640,FCO,FMM,90
1641,FCO,MUC,90
1642,FCO,MLA,85
1643,FCO,MAD,155
1644,FCO,ZRH,95
1645,FCO,MRS,90
1646,FCO,TIA,80
1647,FCO,AHO,65
1648,FCO,OLB,60
1649,FCO,LIN,70
1650,FCO,CDG,130
1651,FCO,OLB,65
1652,FCO,SUF,70
1653,FCO,PMO,65
1654,FCO,AMS,155
1655,FCO,CTA,75
1656,FCO,TRN,70
1657,NAP,PMO,60
1658,NAP,VIE,105
1659,NAP,KRK,120
1660,NAP,BGY,85
1661,NAP,SOF,100
1662,NAP,VCE,80
1663,NAP,BCN,120
1664,NAP,FCO,55
1665,NAP,OTP,115
1666,NAP,LIN,80
1667,NAP,CRL,145
1668,NAP,MXP,95
1669,NAP,STN,175
1670,PSA,MLA,100
1671,PSA,MAD,145
1672,PSA,KRK,115
1673,PSA,STN,140
1674,PSA,TIA,100
1675,PSA,PMO,80
1676,PSA,CRL,110
1677,PSA,OPO,155
1678,FLR,FRA,100
1679,FLR,CDG,110
1680,FLR,MUC,75
1681,FLR,AMS,130
1682,FLR,FCO,55
1683,PEG,TIA,85
1684,LJU,WAW,95
1685,LJU,INI,110
1686,PRG,MAD,185
1687,PRG,FRA,70
1688,PRG,CTA,135
1689,PRG,AGP,205
1690,PRG,FCO,110
1691,PRG,MAN,135
1692,PRG,BGY,80
1693,PRG,BUD,70
1694,PRG,KSC,75
1695,PRG,WAW,80
1696,PRG,CDG,110
1697,PRG,GVA,90
1698,PRG,HEL,135
1699,PRG,BCN,140
1700,PRG,BCN,155
1701,PRG,STN,120
1702,MLA,MUC,145
1703,MLA,ORY,175
1704,MLA,CTA,50
1705,MLA,LIS,210
1706,MLA,BRU,185
1707,MLA,LHR,210
1708,MLA,BRI,80
1709,MLA,CRL,180
1710,MLA,CGN,175
1711,MLA,BUD,140
1712,MLA,FCO,90
1713,MLA,TLS,145
1714,MLA,BCN,135
1715,MLA,OTP,135
1716,MLA,VIE,140
1717,MLA,EDI,235
1718,MLA,MAN,220
1719,MLA,LGW,195
1720,MLA,FCO,95
1721,MLA,SOF,110
1722,MLA,SKP,95
1723,MLA,KTW,165
1724,MLA,CTA,45
1725,MLA,MAD,175
1726,MLA,BGY,120
1727,GRZ,FRA,85
1728,GRZ,MUC,50
1729,INN,MAN,140
1730,INN,LGW,125
1731,INN,LGW,120
1732,INN,VIE,60
1733,INN,BRS,130
1734,INN,FRA,65
1735,INN,EDI,150
1736,KLU,VIE,45
1737,SZG,LGW,120
1738,SZG,STN,120
1739,SZG,LHR,130
1740,SZG,FRA,65
1741,SZG,HEL,150
1742,SZG,LGW,125
1743,SZG,RIX,130
1744,SZG,HAM,80
1745,SZG,MAN,140
1746,SZG,RTM,95
1747,SZG,LGW,135
1748,SZG,CPH,100
1749,SZG,AMS,105
1750,SZG,EIN,85
1751,SZG,BRS,130
1752,SZG,ARN,125
1753,SZG,CPH,95
1754,VIE,OTP,95
1755,VIE,BCN,145
1756,VIE,TLL,145
1757,VIE,BGY,85
1758,VIE,LHR,140
1759,VIE,STN,140
1760,VIE,FRA,90
1761,VIE,INN,55
1762,VIE,BRU,105
1763,VIE,MLA,140
1764,VIE,FCO,105
1765,VIE,STR,75
1766,VIE,GVA,95
1767,VIE,MUC,60
1768,VIE,DUS,95
1769,VIE,HAM,95
1770,VIE,RIX,125
1771,VIE,MXP,85
1772,VIE,ATH,125
1773,VIE,ZRH,85
1774,VIE,CDG,130
1775,VIE,FCO,100
1776,VIE,LGW,150
1777,VIE,HEL,145
1778,VIE,ZAG,50
1779,VIE,LIS,220
1780,VIE,TSF,75
1781,VIE,MAD,190
1782,VIE,FRA,85
1783,VIE,ZRH,80
1784,VIE,KRK,65
1785,VIE,BCN,140
1786,SMA,PDL,30
1787,CAT,VSE,50
1788,FAO,NRN,190
1789,FAO,BFS,190
1790,FAO,LIS,50
1791,FAO,AMS,190
1792,FAO,LBA,185
1793,FAO,GLA,205
1794,FAO,LTN,175
1795,FAO,BFS,200
1796,FAO,LPL,185
1797,HOR,PDL,55
1798,TER,PIX,35
1799,TER,PDL,45
1800,TER,LIS,140
1801,FNC,LIS,100
1802,FNC,LIS,105
1803,FNC,ORY,215
1804,FNC,KTW,305
1805,FNC,MAD,145
1806,FNC,PXO,25
1807,FNC,BSL,235
1808,FNC,AMS,250
1809,FNC,BUD,295
1810,FNC,BRS,220
1811,FNC,MAN,245
1812,FNC,OPO,115
1813,PDL,LIS,135
1814,PDL,SMA,30
1815,PDL,TER,40
1816,PDL,HOR,60
1817,PDL,OPO,140
1818,PDL,LIS,140
1819,PIX,TER,35
1820,OPO,LIS,60
1821,OPO,BGY,155
1822,OPO,ALC,95
1823,OPO,STN,150
1824,OPO,LUX,150
1825,OPO,GVA,135
1826,OPO,MAD,70
1827,OPO,AMS,160
1828,OPO,BVA,135
1829,OPO,AMS,165
1830,OPO,MAD,80
1831,OPO,BCN,105
1832,OPO,PSA,155
1833,OPO,FKB,160
1834,OPO,CPH,205
1835,OPO,MXP,150
1836,OPO,BRS,130
1837,OPO,FNC,115
1838,OPO,ORY,135
1839,OPO,BIO,75
1840,OPO,MAD,75
1841,OPO,PDL,150
1842,PXO,OSL,305
1843,PXO,FNC,25
1844,LIS,FCO,185
1845,LIS,BCN,110
1846,LIS,LHR,170
1847,LIS,MAD,80
1848,LIS,WMI,240
1849,LIS,VLC,90
1850,LIS,OPO,60
1851,LIS,FAO,45
1852,LIS,ZRH,170
1853,LIS,VIE,210
1854,LIS,AMS,190
1855,LIS,FNC,105
1856,LIS,RIX,270
1857,LIS,ORY,155
1858,LIS,MAD,75
1859,LIS,TER,160
1860,LIS,HEL,275
1861,LIS,LUX,160
1862,VRL,BGC,20
1863,VSE,VRL,10
1864,BNX,GOT,145
1865,SJJ,ZAG,50
1866,SJJ,CGN,120
1867,TZL,DTM,130
1868,TZL,FMM,100
1869,BCM,MXP,150
1870,CLJ,LTN,185
1871,CLJ,BGY,120
1872,CLJ,BGY,125
1873,CLJ,OTP,55
1874,CLJ,VIE,80
1875,CRA,BLQ,120
1876,CRA,BHX,210
1877,IAS,BGY,145
1878,IAS,BGY,150
1879,IAS,LTN,215
1880,IAS,OTP,70
1881,OMR,OTP,80
1882,OTP,CRL,175
1883,OTP,ZRH,150
1884,OTP,OMR,85
1885,OTP,LTN,215
1886,OTP,TSR,60
1887,OTP,AMS,185
1888,OTP,LPL,235
1889,OTP,ALC,230
1890,OTP,KIV,70
1891,OTP,WAW,110
1892,OTP,BCN,205
1893,OTP,CDG,190
1894,OTP,IAS,70
1895,OTP,CLJ,55
1896,OTP,NAP,120
1897,OTP,STR,145
1898,OTP,BSL,160
1899,OTP,MRS,175
1900,OTP,BGY,145
1901,OTP,BLL,180
1902,OTP,BHX,215
1903,OTP,LGW,225
1904,OTP,TSF,125
1905,OTP,STN,205
1906,OTP,TRN,165
1907,OTP,ATH,95
1908,OTP,CIA,125
1909,OTP,FCO,140
1910,OTP,VIE,105
1911,OTP,SCV,70
1912,OTP,NYO,180
1913,OTP,BGY,140
1914,OTP,MLA,145
1915,SBZ,LTN,190
1916,SBZ,MUC,105
1917,SCV,FCO,140
1918,SCV,LTN,200
1919,TSR,OTP,60
1920,TSR,BGY,110
1921,GVA,LHR,105
1922,GVA,LGW,100
1923,GVA,LIS,155
1924,GVA,MAN,115
1925,GVA,GLA,140
1926,GVA,EDI,140
1927,GVA,BFS,140
1928,GVA,LIS,160
1929,GVA,PRN,135
1930,GVA,BRS,110
1931,GVA,TLL,175
1932,GVA,CPH,125
1933,GVA,BHX,115
1934,GVA,ATH,165
1935,GVA,MAN,125
1936,GVA,BRU,80
1937,GVA,BCN,90
1938,GVA,MUC,75
1939,GVA,LPL,120
1940,GVA,LTN,105
1941,GVA,AMS,105
1942,GVA,LGW,95
1943,GVA,VIE,95
1944,GVA,RIX,165
1945,GVA,BHX,110
1946,GVA,LIS,150
1947,GVA,NTE,85
1948,GVA,MAD,125
1949,GVA,FRA,70
1950,GVA,EMA,115
1951,GVA,SEN,95
1952,ZRH,OPO,160
1953,ZRH,FRA,60
1954,ZRH,LHR,110
1955,ZRH,MAD,145
1956,ZRH,HAM,85
1957,ZRH,LHR,105
1958,ZRH,GVA,55
1959,ZRH,BLQ,65
1960,ZRH,MUC,55
1961,ZRH,BEG,100
1962,ZRH,AMS,100
1963,ZRH,EDI,135
1964,ZRH,OSL,150
1965,ZRH,AMS,105
1966,ZRH,STR,45
1967,ZRH,MXP,55
1968,ZRH,CDG,75
1969,ZRH,CPH,105
1970,ZRH,BCN,105
1971,ZRH,DUS,75
1972,ZRH,PRN,125
1973,ZRH,NCE,70
1974,ZRH,OHD,120
1975,ZRH,VIE,80
1976,ZRH,BRU,75
1977,ZRH,MLA,140
1978,ZRH,LIS,170
1979,KIV,FCO,160
1980,KIV,CDG,195
1981,KIV,LIS,270
1982,KIV,OTP,75
1983,LUZ,LTN,170
1984,OHD,ZRH,130
1985,SKP,BEG,70
1986,SKP,ZRH,130
1987,SKP,FRA,145
1988,SKP,BTS,95
1989,SKP,CPH,175
1990,SKP,MLA,110
1991,SKP,CGN,165
1992,SKP,NYO,190
1993,SKP,FCO,105
1994,GIB,LHR,185
1995,BEG,LIS,240
1996,BEG,INI,55
1997,BEG,TGD,45
1998,BEG,BVA,160
1999,BEG,WAW,100
2000,BEG,CDG,155
2001,BEG,BCN,165
2002,BEG,OSL,175
2003,BEG,TGD,60
2004,BEG,VIE,90
2005,BEG,KZN,250
2006,BEG,SVO,190
2007,BEG,LED,175
2008,INI,MLA,110
2009,INI,HHN,135
2010,INI,LJU,115
2011,TGD,BEG,50
2012,TGD,KRK,100
2013,TGD,MXP,110
2014,TGD,BEG,60
2015,TIV,BEG,50
2016,BTS,KUN,105
2017,BTS,LTN,150
2018,BTS,STN,140
2019,BTS,SKP,90
2020,KSC,PRG,75
2021,RMU,MAN,175
2022,GRV,DME,185
2023,GRV,SVO,175
2024,HTA,DME,430
2025,SIP,LED,195
2026,ARH,LED,90
2027,ARH,SVO,110
2028,ARH,SVO,115
2029,ARH,LED,95
2030,NNM,KZN,145
2031,CEE,SVO,50
2032,CEE,LED,55
2033,LED,KVX,115
2034,LED,ULV,130
2035,LED,MCX,200
2036,LED,KGD,95
2037,LED,KZN,125
2038,LED,SVO,90
2039,LED,DME,100
2040,LED,DME,95
2041,LED,VKO,95
2042,LED,IWA,100
2043,LED,AER,275
2044,LED,VKO,100
2045,LED,KZN,130
2046,LED,KUF,145
2047,LED,VKO,90
2048,LED,SVO,95
2049,LED,MSQ,90
2050,LED,KUF,135
2051,LED,KJA,285
2052,LED,CEE,55
2053,LED,REN,170
2054,LED,CEK,180
2055,LED,KZN,135
2056,LED,UFA,160
2057,LED,SCW,115
2058,LED,PEE,140
2059,LED,PEE,150
2060,LED,ARH,85
2061,LED,CEK,175
2062,LED,BEG,170
2063,LED,SVO,85
2064,LED,AER,195
2065,MMK,LED,110
2066,MMK,SVO,155
2067,MMK,VKO,155
2068,MMK,SVO,160
2069,MMK,SVO,150
2070,MMK,DME,155
2071,PKV,AER,245
2072,PES,VKO,90
2073,KGD,SVO,165
2074,KGD,VKO,115
2075,KGD,LED,125
2076,KGD,LED,95
2077,KGD,SVO,170
2078,MSQ,DME,85
2079,MSQ,LED,80
2080,MSQ,SVO,85
2081,MSQ,VKO,85
2082,MSQ,SVO,95
2083,KJA,VKO,305
2084,KJA,SVO,320
2085,KJA,LED,310
2086,KJA,SVO,315
2087,NOZ,DME,290
2088,NOZ,SVO,300
2089,AAQ,LED,170
2090,GDZ,LED,180
2091,KRR,SVO,140
2092,KRR,VKO,130
2093,MCX,DME,185
2094,MCX,SVO,190
2095,MCX,SVO,200
2096,MCX,VKO,170
2097,MRV,DME,195
2098,MRV,KUF,160
2099,MRV,AER,65
2100,MRV,CEE,210
2101,MRV,SVO,185
2102,MRV,LED,180
2103,MRV,VKO,145
2104,MRV,MQF,160
2105,MRV,PEE,205
2106,MRV,UFA,170
2107,MRV,CEK,185
2108,MRV,NBC,170
2109,OGZ,VKO,175
2110,STW,SVO,200
2111,AER,DME,215
2112,AER,KZN,205
2113,AER,SVO,225
2114,AER,VKO,140
2115,AER,LED,250
2116,AER,VKO,225
2117,AER,VKO,145
2118,AER,SVO,215
2119,AER,DME,210
2120,AER,MRV,60
2121,AER,CEE,210
2122,AER,SVO,245
2123,AER,SVO,205
2124,AER,KJA,325
2125,AER,PEE,190
2126,AER,PEE,205
2127,AER,UFA,210
2128,AER,DME,220
2129,ASF,SVO,165
2130,VOG,SVO,120
2131,VOG,LED,155
2132,VOG,GOJ,105
2133,VOG,DME,110
2134,VOG,VKO,110
2135,VOG,SVO,130
2136,VOG,MRV,130
2137,CEK,SVO,165
2138,CEK,VKO,160
2139,CEK,LED,185
2140,CEK,MRV,200
2141,CEK,SVO,170
2142,MQF,SVO,150
2143,SBT,DME,69
2144,IJK,DME,100
2145,IJK,SVO,135
2146,KVX,LED,125
2147,KVX,SVO,110
2148,KVX,VKO,105
2149,PEE,VKO,135
2150,PEE,SVO,135
2151,PEE,DME,145
2152,PEE,AER,200
2153,PEE,LED,145
2154,PEE,LED,150
2155,PEE,SVO,140
2156,PEE,MRV,190
2157,PEE,AER,220
2158,KLF,MRV,185
2159,IWA,LED,110
2160,ZIA,AER,225
2161,DME,AER,215
2162,DME,VOG,110
2163,DME,LED,100
2164,DME,ARH,110
2165,DME,KZN,105
2166,DME,PEZ,80
2167,DME,MSQ,85
2168,DME,HTA,375
2169,DME,LED,90
2170,DME,AER,220
2171,DME,IJK,100
2172,DME,NOZ,265
2173,DME,MMK,175
2174,SVO,KUF,110
2175,SVO,MMK,160
2176,SVO,KZN,100
2177,SVO,LED,90
2178,SVO,MSQ,95
2179,SVO,AER,240
2180,SVO,MRV,210
2181,SVO,GOJ,75
2182,SVO,AER,225
2183,SVO,CSY,90
2184,SVO,KVX,105
2185,SVO,PEE,130
2186,SVO,MSQ,85
2187,SVO,LED,100
2188,SVO,KGD,170
2189,SVO,KJA,295
2190,SVO,BEG,190
2191,SVO,ARH,125
2192,SVO,LED,95
2193,SVO,ULV,105
2194,SVO,UFA,130
2195,SVO,ASF,160
2196,SVO,MMK,165
2197,SVO,CEE,60
2198,SVO,KZN,105
2199,SVO,VOG,125
2200,SVO,NOZ,275
2201,SVO,KJA,290
2202,SVO,NBC,120
2203,SVO,CEK,155
2204,SVO,KUF,120
2205,SVO,SCW,120
2206,SVO,REN,135
2207,SVO,MQF,155
2208,VOZ,LED,115
2209,VKO,ULV,95
2210,VKO,KGD,115
2211,VKO,AER,150
2212,VKO,PES,100
2213,VKO,MMK,155
2214,VKO,PEE,120
2215,VKO,MCX,165
2216,VKO,MRV,140
2217,VKO,LED,85
2218,VKO,SCW,120
2219,VKO,LED,80
2220,VKO,VOG,105
2221,VKO,KUF,105
2222,VKO,CSY,80
2223,VKO,KVX,100
2224,VKO,LED,90
2225,VKO,KJA,275
2226,VKO,KJA,280
2227,VKO,MSQ,85
2228,VKO,KRR,135
2229,VKO,UUA,110
2230,VKO,UFA,125
2231,VKO,CEK,145
2232,VKO,GRV,195
2233,SCW,VKO,130
2234,GOJ,LED,125
2235,GOJ,SVO,80
2236,GOJ,SVO,85
2237,GOJ,VOG,100
2238,KZN,VKO,105
2239,KZN,SVO,110
2240,KZN,SVO,105
2241,KZN,LED,135
2242,KZN,LED,155
2243,KZN,DME,105
2244,KZN,LED,130
2245,KZN,KUF,50
2246,KZN,BEG,240
2247,NBC,SVO,120
2248,NBC,VKO,110
2249,NBC,LED,145
2250,NBC,SVO,115
2251,CSY,VKO,90
2252,CSY,SVO,100
2253,ULV,VKO,95
2254,ULV,LED,125
2255,REN,SVO,150
2256,REN,SVO,140
2257,REN,LED,175
2258,OSW,SVO,160
2259,PEZ,DME,80
2260,UFA,AER,185
2261,UFA,SVO,145
2262,UFA,SVO,140
2263,UFA,DME,140
2264,UFA,LED,175
2265,UFA,LED,170
2266,UFA,VKO,135
2267,UFA,LED,165
2268,UFA,KJA,205
2269,UFA,SVO,150
2270,UFA,AER,220
2271,KUF,LED,145
2272,KUF,VKO,120
2273,KUF,LED,150
2274,KUF,SVO,115
2275,KUF,SVO,110
