tra_infr,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 
AIRP,AL	1 d	1 d	1 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP,AT	6 d	6 d	6 d	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 
AIRP,BA	3 d	3 d	4 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP,BE	6 d	5 d	5 d	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 
AIRP,BG	4 d	4 d	4 d	4 	4 	4 	4 	4 	4 	4 	4 	4 	5 	5 	5 	4 	4 	4 	4 	4 	4 
AIRP,CH	6 d	4 d	6 d	6 	6 	6 	6 	6 	7 	7 	7 	7 	7 	7 	7 	7 	7 	6 	6 	6 	6 
AIRP,CY	2 d	2 d	2 d	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 
AIRP,CZ	4 d	5 d	5 d	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	4 	4 	4 	4 	4 	4 	4 	4 
AIRP,DE	33 d	36 d	41 d	40 	41 	40 	42 	38 	39 	38 	41 	33 	34 	34 	33 	34 	33 	35 	35 	35 	35 
AIRP,DK	9 d	9 d	10 d	10 	8 	8 	8 	8 	8 	8 	9 	8 	8 	8 	8 	8 	8 	8 	9 	8 	9 
AIRP,EE	2 d	3 d	3 d	2 	2 	2 	2 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
AIRP,EL	32 d	27 d	35 d	33 	33 	34 	33 	33 	33 	32 	32 	32 	33 	34 	31 	36 	36 	27 	30 	: 	: 
AIRP,ES	39 d	39 d	40 d	37 	38 	38 	37 	39 	39 	41 	41 	42 	41 	40 	40 	40 	39 	39 	38 	38 	38 
AIRP,FI	13 d	14 d	18 d	18 	18 	17 	18 	19 	19 	19 	20 	20 	20 	21 	21 	21 	21 	22 	22 	21 	21 
AIRP,FR	52 d	56 d	57 d	60 	62 	62 	62 	62 	62 	64 	62 	66 	63 	63 	61 	62 	64 	58 	65 	61 	61 
AIRP,HR	8 d	8 d	8 d	8 	7 	7 	7 	7 	6 	6 	7 	7 	6 	6 	6 	7 	8 	: 	: 	: 	: 
AIRP,HU	2 d	2 d	3 d	3 	3 	4 	4 	4 	3 	3 	3 	3 	3 	3 	3 	3 	3 	1 	1 	1 	1 
AIRP,IE	5 d	6 d	7 d	7 	7 	7 	8 	8 	9 	9 	11 	11 	11 	9 	10 	10 	11 	11 	11 	11 	11 
AIRP,IS	5 d	5 d	5 d	6 	7 	1 	1 	1 	6 	6 	6 	6 	7 	7 	7 	7 	7 	7 	7 	: 	: 
AIRP,IT	35 d	35 d	36 d	36 	35 	37 	37 	38 	37 	37 	38 	38 	38 	39 	38 	37 	37 	37 	36 	25 	22 
AIRP,LT	3 d	3 d	3 d	3 	3 	3 	3 	3 	4 	4 	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 
AIRP,LU	1 d	1 d	1 d	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
AIRP,LV	1 d	1 d	1 d	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	2 	2 	2 	2 	2 	2 	2 	2 
AIRP,ME	2 d	2 d	2 d	2 	2 	2 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP,MK	2 d	2 d	2 d	2 	2 	2 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP,MT	1 d	1 d	1 d	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
AIRP,NL	5 d	5 d	5 d	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 
AIRP,NO	37 d	39 d	42 d	42 	42 	47 	47 	49 	50 	49 	50 	49 	48 	48 	47 	46 	42 	43 	45 	44 	37 
AIRP,PL	14 d	14 d	14 d	14 	14 	13 	12 	12 	10 	10 	10 	10 	10 	10 	10 	9 	10 	9 	9 	8 	8 
AIRP,PT	13 d	13 d	13 d	13 	13 	13 	13 	13 	13 	10 	13 	10 	10 	10 	10 	10 	10 	10 	9 	9 	9 
AIRP,RO	13 d	12 d	14 d	12 	11 	12 	11 	11 	12 	9 	9 	9 	9 	9 	9 	9 	9 	9 	8 	8 	8 
AIRP,RS	2 d	2 d	2 d	2 	2 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP,SE	22 d	25 d	30 d	30 	30 	30 	31 	33 	32 	32 	32 	32 	32 	31 	32 	32 	32 	32 	32 	31 	30 
AIRP,SI	1 d	1 d	1 d	1 	1 	1 	1 	1 	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 
AIRP,SK	3 d	3 d	4 d	4 	4 	4 	4 	4 	6 	6 	6 	5 	6 	6 	6 	6 	6 	6 	8 	2 	3 
AIRP,TR	48 d	48 d	52 d	51 	50 	51 	51 	48 	46 	45 	43 	40 	36 	38 	38 	34 	14 	15 	14 	14 	14 
AIRP,UK	: 	: 	41 d	41 	42 	43 	42 	45 	43 	46 	45 	45 	46 	47 	46 	46 	46 	46 	43 	41 	43 
AIRP_MAIN,AL	1 d	1 d	1 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_MAIN,AT	4 d	5 d	6 d	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	5 
AIRP_MAIN,BA	2 d	2 d	2 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_MAIN,BE	5 d	4 d	5 d	5 	5 	5 	5 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 
AIRP_MAIN,BG	3 d	3 d	3 d	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 	4 	3 	3 	3 	3 	3 	3 
AIRP_MAIN,CH	3 d	3 d	3 d	3 	4 	5 	5 	4 	4 	5 	5 	4 	4 	4 	4 	4 	4 	3 	4 	4 	4 
AIRP_MAIN,CY	2 d	2 d	2 d	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 
AIRP_MAIN,CZ	3 d	1 d	3 d	3 	3 	3 	3 	3 	4 	3 	3 	3 	3 	4 	4 	3 	3 	3 	3 	3 	3 
AIRP_MAIN,DE	18 d	20 d	23 d	24 	24 	24 	25 	25 	26 	26 	27 	27 	26 	27 	26 	25 	24 	25 	25 	25 	25 
AIRP_MAIN,DK	4 d	3 d	5 d	5 	5 	6 	5 	5 	5 	6 	6 	6 	6 	6 	7 	7 	7 	6 	5 	5 	7 
AIRP_MAIN,EE	1 d	1 d	1 d	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
AIRP_MAIN,EL	19 d	13 d	22 d	22 	22 	20 	21 	21 	19 	19 	19 	19 	19 	19 	19 	28 	25 	18 	18 	: 	: 
AIRP_MAIN,ES	32 d	31 d	34 d	33 	34 	34 	31 	32 	33 	34 	34 	34 	34 	34 	35 	34 	34 	33 	33 	33 	33 
AIRP_MAIN,FI	4 d	4 d	9 d	9 	9 	9 	9 	8 	8 	8 	8 	8 	8 	8 	8 	9 	11 	11 	10 	10 	10 
AIRP_MAIN,FR	30 d	31 d	43 d	43 	44 	44 	42 	43 	44 	45 	42 	40 	41 	43 	42 	42 	42 	39 	36 	36 	36 
AIRP_MAIN,HR	6 d	6 d	6 d	6 	5 	5 	5 	5 	5 	5 	5 	5 	5 	4 	5 	5 	4 	: 	: 	: 	: 
AIRP_MAIN,HU	1 d	1 d	2 d	2 	2 	2 	2 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
AIRP_MAIN,IE	4 d	3 d	5 d	5 	5 	5 	5 	5 	5 	6 	6 	6 	6 	6 	6 	6 	6 	5 	5 	5 	5 
AIRP_MAIN,IS	2 d	2 d	3 d	3 	4 	1 	1 	1 	3 	3 	3 	3 	3 	3 	4 	4 	3 	3 	3 	: 	: 
AIRP_MAIN,IT	26 d	26 d	33 d	32 	33 	33 	33 	33 	33 	35 	34 	33 	32 	33 	32 	32 	30 	30 	29 	22 	20 
AIRP_MAIN,LT	2 d	2 d	3 d	3 	3 	3 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	1 	1 	1 	1 	1 
AIRP_MAIN,LU	1 d	1 d	1 d	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
AIRP_MAIN,LV	1 d	1 d	1 d	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
AIRP_MAIN,ME	2 d	2 d	2 d	2 	2 	2 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_MAIN,MK	1 d	1 d	1 d	1 	1 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_MAIN,MT	1 d	1 d	1 d	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
AIRP_MAIN,NL	4 d	3 d	5 d	5 	5 	5 	5 	5 	5 	5 	4 	4 	4 	5 	4 	4 	4 	4 	4 	4 	4 
AIRP_MAIN,NO	14 d	17 d	17 d	17 	17 	18 	18 	20 	21 	19 	19 	19 	18 	17 	17 	17 	15 	16 	15 	16 	16 
AIRP_MAIN,PL	9 d	9 d	12 d	12 	12 	12 	12 	12 	10 	10 	10 	10 	10 	10 	10 	8 	6 	6 	6 	6 	6 
AIRP_MAIN,PT	7 d	6 d	8 d	8 	8 	8 	7 	7 	7 	7 	7 	7 	7 	7 	7 	8 	8 	8 	7 	7 	7 
AIRP_MAIN,RO	8 d	7 d	9 d	9 	9 	8 	7 	7 	7 	7 	7 	6 	6 	4 	4 	4 	4 	3 	2 	1 	2 
AIRP_MAIN,RS	2 d	1 d	1 d	1 	2 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_MAIN,SE	8 d	7 d	16 d	18 	18 	19 	17 	17 	19 	19 	18 	18 	18 	18 	18 	18 	18 	18 	21 	18 	18 
AIRP_MAIN,SI	1 d	1 d	1 d	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
AIRP_MAIN,SK	2 d	1 d	2 d	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 
AIRP_MAIN,TR	36 d	32 d	41 d	43 	42 	40 	40 	36 	31 	29 	27 	24 	23 	22 	19 	18 	14 	14 	12 	12 	13 
AIRP_MAIN,UK	: 	: 	32 d	32 	32 	32 	31 	33 	34 	33 	32 	32 	32 	34 	33 	33 	33 	32 	30 	31 	31 
AIRP_OTH,AT	2 d	1 d	0 d	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	1 
AIRP_OTH,BA	1 d	1 d	2 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_OTH,BE	1 d	1 d	0 d	0 	0 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
AIRP_OTH,BG	1 d	1 d	1 d	1 	1 	1 	1 	1 	1 	1 	1 	1 	2 	2 	1 	1 	1 	1 	1 	1 	1 
AIRP_OTH,CH	3 d	1 d	3 d	3 	2 	1 	1 	2 	3 	2 	2 	3 	3 	3 	3 	3 	3 	3 	2 	2 	2 
AIRP_OTH,CY	0 d	0 d	0 d	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
AIRP_OTH,CZ	1 d	4 d	2 d	2 	2 	2 	2 	2 	1 	2 	2 	2 	2 	0 	0 	1 	1 	1 	1 	1 	1 
AIRP_OTH,DE	15 d	16 d	18 d	16 	17 	16 	17 	13 	13 	12 	14 	6 	8 	7 	7 	9 	9 	10 	10 	10 	10 
AIRP_OTH,DK	5 d	6 d	5 d	5 	3 	2 	3 	3 	3 	2 	3 	2 	2 	2 	1 	1 	1 	2 	4 	3 	2 
AIRP_OTH,EE	1 d	2 d	2 d	1 	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
AIRP_OTH,EL	13 d	14 d	13 d	11 	11 	14 	12 	12 	14 	13 	13 	13 	14 	15 	12 	8 	11 	9 	12 	: 	: 
AIRP_OTH,ES	7 d	8 d	6 d	4 	4 	4 	6 	7 	6 	7 	7 	8 	7 	6 	5 	6 	5 	6 	5 	5 	5 
AIRP_OTH,FI	9 d	10 d	9 d	9 	9 	8 	9 	11 	11 	11 	12 	12 	12 	13 	13 	12 	10 	11 	12 	11 	11 
AIRP_OTH,FR	22 d	25 d	14 d	17 	18 	18 	20 	19 	18 	19 	20 	26 	22 	20 	19 	20 	22 	19 	29 	25 	25 
AIRP_OTH,HR	2 d	2 d	2 d	2 	2 	2 	2 	2 	1 	1 	2 	2 	1 	2 	1 	2 	4 	: 	: 	: 	: 
AIRP_OTH,HU	1 d	1 d	1 d	1 	1 	2 	2 	3 	2 	2 	2 	2 	2 	2 	2 	2 	2 	0 	0 	0 	0 
