route,time,departure airport,arrival airport,departure city,arrival city
"{'DME', 'MMK'}",165.0,DME,MMK,Moscow,Murmansk
"{'DME', 'MSQ'}",85.0,DME,MSQ,Moscow,Horad Zhodzina
"{'DME', 'NOZ'}",277.5,DME,NOZ,Moscow,Novokuznetsk
"{'DME', 'PEE'}",145.0,DME,PEE,Moscow,Perm
"{'DME', 'PEZ'}",80.0,DME,PEZ,Moscow,Penza
"{'DME', 'VOG'}",110.0,DME,VOG,Moscow,Volgograd
"{'DTM', 'BEG'}",125.0,DTM,BEG,Dortmund,Belgrade
"{'DTM', 'BUD'}",105.0,DTM,BUD,Dortmund,Budapest
"{'DTM', 'CLJ'}",130.0,DTM,CLJ,Dortmund,Cluj-Napoca
"{'DTM', 'FCO'}",125.0,DTM,FCO,Dortmund,Rome
"{'DTM', 'GDN'}",95.0,DTM,GDN,Dortmund,Gdańsk
"{'DTM', 'KTW'}",95.0,DTM,KTW,Dortmund,Katowice
"{'DTM', 'SZY'}",107.5,DTM,SZY,Dortmund,Szczytno
"{'DTM', 'TZL'}",130.0,DTM,TZL,Dortmund,Banja Koviljača
"{'DTM', 'VNO'}",125.0,DTM,VNO,Dortmund,Vilnius
"{'DUS', 'ACE'}",265.0,DUS,ACE,Cologne,Arrecife
"{'DUS', 'AMS'}",55.0,DUS,AMS,Cologne,Amsterdam
"{'DUS', 'CDG'}",75.0,DUS,CDG,Cologne,Paris
"{'DUS', 'CPH'}",75.0,DUS,CPH,Cologne,Copenhagen
"{'DUS', 'FRA'}",50.0,DUS,FRA,Cologne,Frankfurt
"{'DUS', 'HEL'}",140.0,DUS,HEL,Cologne,Helsinki
"{'DUS', 'KIV'}",160.0,DUS,KIV,Cologne,Chisinau
"{'DUS', 'LHR'}",85.0,DUS,LHR,Cologne,London
"{'DUS', 'LIS'}",185.0,DUS,LIS,Cologne,Lisbon
"{'DUS', 'MAD'}",160.0,DUS,MAD,Cologne,Madrid
"{'DUS', 'MUC'}",70.0,DUS,MUC,Cologne,Munich
"{'DUS', 'PRN'}",162.5,DUS,PRN,Cologne,Pristina
"{'DUS', 'TIA'}",145.0,DUS,TIA,Cologne,Tirana
"{'DUS', 'TOS'}",210.0,DUS,TOS,Cologne,Tromsø
"{'DUS', 'VIE'}",95.0,DUS,VIE,Cologne,Vienna
"{'DUS', 'ZRH'}",70.0,DUS,ZRH,Cologne,Zürich
"{'EAS', 'BCN'}",65.0,EAS,BCN,Donostia,Barcelona
"{'EAS', 'MAD'}",65.0,EAS,MAD,Donostia,Madrid
"{'EDI', 'AGP'}",200.0,EDI,AGP,Dunfermline,Málaga
"{'EDI', 'BCN'}",160.0,EDI,BCN,Dunfermline,Barcelona
"{'EDI', 'BHX'}",65.0,EDI,BHX,Dunfermline,Birmingham
"{'EDI', 'BRS'}",75.0,EDI,BRS,Dunfermline,Bristol
"{'EDI', 'CRL'}",105.0,EDI,CRL,Dunfermline,Brussels
"{'EDI', 'GOT'}",112.5,EDI,GOT,Dunfermline,Gothenburg
"{'EDI', 'GVA'}",137.5,EDI,GVA,Dunfermline,Geneva
"{'EDI', 'LGW'}",85.0,EDI,LGW,Dunfermline,London
"{'EDI', 'MAD'}",175.0,EDI,MAD,Dunfermline,Madrid
"{'EIN', 'AGP'}",177.5,EIN,AGP,Eindhoven,Málaga
"{'EIN', 'ALC'}",155.0,EIN,ALC,Eindhoven,Alicante
"{'EIN', 'ATH'}",175.0,EIN,ATH,Eindhoven,Athens
"{'EIN', 'BGY'}",97.5,EIN,BGY,Eindhoven,Monza
"{'EIN', 'BUD'}",120.0,EIN,BUD,Eindhoven,Budapest
"{'EIN', 'CLJ'}",140.0,EIN,CLJ,Eindhoven,Cluj-Napoca
"{'EIN', 'DEB'}",130.0,EIN,DEB,Eindhoven,Debrecen
"{'EIN', 'KRK'}",115.0,EIN,KRK,Eindhoven,Kraków
"{'EIN', 'LIS'}",175.0,EIN,LIS,Eindhoven,Lisbon
"{'EIN', 'SZG'}",85.0,EIN,SZG,Eindhoven,Salzburg
"{'EIN', 'VNO'}",137.5,EIN,VNO,Eindhoven,Vilnius
"{'EMA', 'ACE'}",252.5,EMA,ACE,Nottingham,Arrecife
"{'EMA', 'AGP'}",180.0,EMA,AGP,Nottingham,Málaga
"{'EMA', 'ALC'}",165.0,EMA,ALC,Nottingham,Alicante
"{'EMA', 'BFS'}",65.0,EMA,BFS,Nottingham,Belfast
"{'EMA', 'GVA'}",112.5,EMA,GVA,Nottingham,Geneva
"{'EMA', 'ORY'}",105.0,EMA,ORY,Nottingham,Paris
"{'EMA', 'RZE'}",165.0,EMA,RZE,Nottingham,Rzeszów
"{'FAO', 'AMS'}",190.0,FAO,AMS,Faro,Amsterdam
"{'FAO', 'BFS'}",188.75,FAO,BFS,Faro,Belfast
"{'FAO', 'GLA'}",200.0,FAO,GLA,Faro,Paisley
"{'FAO', 'LIS'}",47.5,FAO,LIS,Faro,Lisbon
"{'FAO', 'LPL'}",180.0,FAO,LPL,Faro,Liverpool
"{'FAO', 'LTN'}",172.5,FAO,LTN,Faro,London
"{'FAO', 'NRN'}",187.5,FAO,NRN,Faro,Mönchengladbach
"{'FCO', 'AGP'}",157.5,FCO,AGP,Rome,Málaga
"{'FCO', 'AHO'}",65.0,FCO,AHO,Rome,Sassari
"{'FCO', 'AMS'}",155.0,FCO,AMS,Rome,Amsterdam
"{'FCO', 'AOI'}",65.0,FCO,AOI,Rome,Ancona
"{'FCO', 'ATH'}",125.0,FCO,ATH,Rome,Athens
"{'FCO', 'BCN'}",105.0,FCO,BCN,Rome,Barcelona
"{'FCO', 'BLQ'}",60.0,FCO,BLQ,Rome,Bologna
"{'FCO', 'BRU'}",125.0,FCO,BRU,Rome,Brussels
"{'FCO', 'BUD'}",105.0,FCO,BUD,Rome,Budapest
"{'FCO', 'CAG'}",65.0,FCO,CAG,Rome,Cagliari
"{'FCO', 'CDG'}",127.5,FCO,CDG,Rome,Paris
"{'FCO', 'CGN'}",120.0,FCO,CGN,Rome,Cologne
"{'FCO', 'CTA'}",80.0,FCO,CTA,Rome,Catania
"{'FCO', 'EIN'}",130.0,FCO,EIN,Rome,Eindhoven
"{'FCO', 'FLR'}",55.0,FCO,FLR,Rome,Florence
"{'FCO', 'FMM'}",90.0,FCO,FMM,Rome,Ulm
"{'FCO', 'GOA'}",65.0,FCO,GOA,Rome,Genoa
"{'FCO', 'KIV'}",160.0,FCO,KIV,Rome,Chisinau
"{'FCO', 'LGW'}",150.0,FCO,LGW,Rome,London
"{'FCO', 'LHR'}",160.0,FCO,LHR,Rome,London
"{'FCO', 'LIN'}",70.0,FCO,LIN,Rome,Milan
"{'FCO', 'LIS'}",185.0,FCO,LIS,Rome,Lisbon
"{'FCO', 'LYS'}",95.0,FCO,LYS,Rome,Lyon
"{'FCO', 'MAD'}",152.5,FCO,MAD,Rome,Madrid
"{'FCO', 'MRS'}",87.5,FCO,MRS,Rome,Marseille
"{'FCO', 'MUC'}",90.0,FCO,MUC,Rome,Munich
"{'FCO', 'NCE'}",70.0,FCO,NCE,Rome,Nice
"{'FCO', 'ORY'}",115.0,FCO,ORY,Rome,Paris
"{'FCO', 'OTP'}",140.0,FCO,OTP,Rome,Bucharest
"{'FCO', 'PMO'}",67.5,FCO,PMO,Rome,Palermo
"{'FCO', 'POZ'}",140.0,FCO,POZ,Rome,Poznań
"{'FCO', 'PRG'}",110.0,FCO,PRG,Rome,Prague
"{'FCO', 'RDO'}",135.0,FCO,RDO,Rome,Radom
"{'FCO', 'SCV'}",142.5,FCO,SCV,Rome,Botoşani
"{'FCO', 'SUF'}",70.0,FCO,SUF,Rome,Cosenza
"{'FCO', 'TIA'}",80.0,FCO,TIA,Rome,Tirana
"{'FCO', 'TRN'}",75.0,FCO,TRN,Rome,Turin
"{'FCO', 'TRS'}",65.0,FCO,TRS,Rome,Trieste
"{'FCO', 'VIE'}",102.5,FCO,VIE,Rome,Vienna
"{'FCO', 'VLC'}",125.0,FCO,VLC,Rome,Valencia
"{'FCO', 'VRN'}",60.0,FCO,VRN,Rome,Verona
"{'FCO', 'WAW'}",145.0,FCO,WAW,Rome,Warsaw
"{'FCO', 'ZRH'}",95.0,FCO,ZRH,Rome,Zürich
"{'FKB', 'ALC'}",142.5,FKB,ALC,Karlsruhe,Alicante
"{'FKB', 'OPO'}",160.0,FKB,OPO,Karlsruhe,Porto
"{'FLR', 'CDG'}",110.0,FLR,CDG,Florence,Paris
"{'FLR', 'LGW'}",130.0,FLR,LGW,Florence,London
"{'FLR', 'MAD'}",145.0,FLR,MAD,Florence,Madrid
"{'FLR', 'MUC'}",75.0,FLR,MUC,Florence,Munich
"{'FMM', 'CLJ'}",115.0,FMM,CLJ,Ulm,Cluj-Napoca
"{'FMM', 'OPO'}",170.0,FMM,OPO,Ulm,Porto
"{'FMM', 'OTP'}",135.0,FMM,OTP,Ulm,Bucharest
"{'FMM', 'TZL'}",97.5,FMM,TZL,Ulm,Banja Koviljača
"{'FNC', 'AMS'}",250.0,FNC,AMS,Funchal,Amsterdam
"{'FNC', 'BRS'}",217.5,FNC,BRS,Funchal,Bristol
"{'FNC', 'BSL'}",235.0,FNC,BSL,Funchal,Freiburg im Breisgau
"{'FNC', 'BUD'}",295.0,FNC,BUD,Funchal,Budapest
"{'FNC', 'KTW'}",305.0,FNC,KTW,Funchal,Katowice
"{'FNC', 'LIS'}",103.33333333333331,FNC,LIS,Funchal,Lisbon
"{'FNC', 'MAD'}",145.0,FNC,MAD,Funchal,Madrid
"{'FNC', 'OPO'}",115.0,FNC,OPO,Funchal,Porto
"{'FNC', 'ORY'}",215.0,FNC,ORY,Funchal,Paris
"{'FRA', 'ACE'}",270.0,FRA,ACE,Frankfurt,Arrecife
"{'FRA', 'AGP'}",185.0,FRA,AGP,Frankfurt,Málaga
"{'FRA', 'ALC'}",165.0,FRA,ALC,Frankfurt,Alicante
"{'FRA', 'AMS'}",75.0,FRA,AMS,Frankfurt,Amsterdam
"{'FRA', 'ARN'}",132.5,FRA,ARN,Frankfurt,Stockholm
"{'FRA', 'BCN'}",130.0,FRA,BCN,Frankfurt,Barcelona
"{'FRA', 'BLQ'}",90.0,FRA,BLQ,Frankfurt,Bologna
"{'FRA', 'BRE'}",60.0,FRA,BRE,Frankfurt,Bremen
"{'FRA', 'BRS'}",97.5,FRA,BRS,Frankfurt,Bristol
"{'FRA', 'BRU'}",60.0,FRA,BRU,Frankfurt,Brussels
"{'FRA', 'BSL'}",55.0,FRA,BSL,Frankfurt,Freiburg im Breisgau
"{'FRA', 'BUD'}",100.0,FRA,BUD,Frankfurt,Budapest
"{'FRA', 'CDG'}",75.0,FRA,CDG,Frankfurt,Paris
"{'FRA', 'DRS'}",65.0,FRA,DRS,Frankfurt,Dresden
"{'FRA', 'DUS'}",50.0,FRA,DUS,Frankfurt,Cologne
"{'FRA', 'FLR'}",92.5,FRA,FLR,Frankfurt,Florence
"{'FRA', 'GOT'}",105.0,FRA,GOT,Frankfurt,Gothenburg
"{'FRA', 'GRZ'}",85.0,FRA,GRZ,Frankfurt,Graz
"{'FRA', 'GVA'}",65.0,FRA,GVA,Frankfurt,Geneva
"{'FRA', 'HAM'}",67.5,FRA,HAM,Frankfurt,Hamburg
"{'FRA', 'HEL'}",160.0,FRA,HEL,Frankfurt,Helsinki
"{'FRA', 'HHN'}",45.0,FRA,HHN,Frankfurt,Koblenz
"{'FRA', 'KRK'}",97.5,FRA,KRK,Frankfurt,Kraków
"{'FRA', 'LEJ'}",60.0,FRA,LEJ,Frankfurt,Leipzig
"{'FRA', 'LGW'}",90.0,FRA,LGW,Frankfurt,London
"{'FRA', 'LHR'}",105.0,FRA,LHR,Frankfurt,London
"{'FRA', 'LIN'}",77.5,FRA,LIN,Frankfurt,Milan
"{'FRA', 'MAN'}",105.0,FRA,MAN,Frankfurt,Manchester
"{'FRA', 'MUC'}",65.0,FRA,MUC,Frankfurt,Munich
"{'FRA', 'MXP'}",80.0,FRA,MXP,Frankfurt,Novara
"{'FRA', 'NUE'}",45.0,FRA,NUE,Frankfurt,Nuremberg
"{'FRA', 'OSL'}",140.0,FRA,OSL,Frankfurt,Oslo
"{'FRA', 'POZ'}",90.0,FRA,POZ,Frankfurt,Poznań
"{'FRA', 'PRG'}",70.0,FRA,PRG,Frankfurt,Prague
"{'FRA', 'STR'}",50.0,FRA,STR,Frankfurt,Stuttgart
"{'FRA', 'SZG'}",65.0,FRA,SZG,Frankfurt,Salzburg
"{'FRA', 'TLL'}",155.0,FRA,TLL,Frankfurt,Tallinn
"{'FRA', 'TRN'}",80.0,FRA,TRN,Frankfurt,Turin
"{'FRA', 'VIE'}",86.66666666666667,FRA,VIE,Frankfurt,Vienna
"{'FRA', 'WAW'}",120.0,FRA,WAW,Frankfurt,Warsaw
"{'FRA', 'WRO'}",85.0,FRA,WRO,Frankfurt,Wrocław
"{'FRA', 'ZAG'}",95.0,FRA,ZAG,Frankfurt,Bistrica ob Sotli
"{'FRA', 'ZRH'}",60.0,FRA,ZRH,Frankfurt,Zürich
"{'NCE', 'FSC'}",55.0,NCE,FSC,Nice,Ajaccio
"{'AGP', 'GDN'}",245.0,AGP,GDN,Málaga,Gdańsk
"{'GDZ', 'LED'}",180.0,GDZ,LED,Novorossiysk,Saint Petersburg
"{'GLA', 'ACE'}",280.0,GLA,ACE,Paisley,Arrecife
"{'GLA', 'AMS'}",92.5,GLA,AMS,Paisley,Amsterdam
"{'GLA', 'BRS'}",75.0,GLA,BRS,Paisley,Bristol
"{'GLA', 'CDG'}",110.0,GLA,CDG,Paisley,Paris
"{'GLA', 'GVA'}",137.5,GLA,GVA,Paisley,Geneva
"{'GLA', 'LTN'}",75.0,GLA,LTN,Paisley,London
"{'BRS', 'GNB'}",100.0,BRS,GNB,Bristol,Grenoble
"{'BCN', 'GOA'}",95.0,BCN,GOA,Barcelona,Genoa
"{'GOJ', 'LED'}",125.0,GOJ,LED,Nizhniy Novgorod,Saint Petersburg
"{'GOJ', 'SVO'}",80.0,GOJ,SVO,Nizhniy Novgorod,Moscow
"{'GOJ', 'VOG'}",102.5,GOJ,VOG,Nizhniy Novgorod,Volgograd
"{'AGP', 'GOT'}",235.0,AGP,GOT,Málaga,Gothenburg
"{'BGO', 'GOT'}",75.0,BGO,GOT,Bergen,Gothenburg
"{'GRO', 'BHX'}",135.0,GRO,BHX,Mataró,Birmingham
"{'GRX', 'BCN'}",87.5,GRX,BCN,Granada,Barcelona
"{'GRX', 'MAD'}",70.0,GRX,MAD,Granada,Madrid
"{'GVA', 'ARN'}",160.0,GVA,ARN,Geneva,Stockholm
"{'GVA', 'BCN'}",90.0,GVA,BCN,Geneva,Barcelona
"{'GVA', 'BHX'}",110.0,GVA,BHX,Geneva,Birmingham
"{'GVA', 'BOH'}",100.0,GVA,BOH,Geneva,Southampton
"{'GVA', 'BRS'}",105.0,GVA,BRS,Geneva,Bristol
"{'GVA', 'BRU'}",80.0,GVA,BRU,Geneva,Brussels
"{'GVA', 'GOT'}",135.0,GVA,GOT,Geneva,Gothenburg
"{'GVA', 'LGW'}",97.5,GVA,LGW,Geneva,London
"{'GVA', 'LPL'}",115.0,GVA,LPL,Geneva,Liverpool
"{'GVA', 'MAD'}",125.0,GVA,MAD,Geneva,Madrid
"{'GVA', 'MUC'}",75.0,GVA,MUC,Geneva,Munich
"{'GVA', 'OPO'}",135.0,GVA,OPO,Geneva,Porto
"{'GVA', 'PRN'}",137.5,GVA,PRN,Geneva,Pristina
"{'GVA', 'SOU'}",100.0,GVA,SOU,Geneva,Portsmouth
"{'HAJ', 'FRA'}",55.0,HAJ,FRA,Hannover,Frankfurt
"{'HAJ', 'MUC'}",70.0,HAJ,MUC,Hannover,Munich
"{'AGP', 'HAM'}",200.0,AGP,HAM,Málaga,Hamburg
"{'HAU', 'BGO'}",30.0,HAU,BGO,Haugesund,Bergen
"{'ARN', 'HEL'}",65.0,ARN,HEL,Stockholm,Helsinki
"{'HEL', 'BCN'}",245.0,HEL,BCN,Helsinki,Barcelona
"{'HEL', 'BRU'}",157.5,HEL,BRU,Helsinki,Brussels
"{'CDG', 'HEL'}",170.0,CDG,HEL,Paris,Helsinki
"{'HEL', 'GOT'}",122.5,HEL,GOT,Helsinki,Gothenburg
"{'HEL', 'HAM'}",117.5,HEL,HAM,Helsinki,Hamburg
"{'HEL', 'MAD'}",265.0,HEL,MAD,Helsinki,Madrid
"{'OUL', 'HEL'}",62.5,OUL,HEL,Oulu,Helsinki
"{'RVN', 'HEL'}",77.5,RVN,HEL,Rovaniemi,Helsinki
"{'HHN', 'AGP'}",175.0,HHN,AGP,Koblenz,Málaga
"{'INI', 'HHN'}",135.0,INI,HHN,Niš,Koblenz
"{'IAS', 'CIA'}",140.0,IAS,CIA,Iaşi,Rome
"{'IAS', 'OTP'}",70.0,IAS,OTP,Iaşi,Bucharest
"{'IBZ', 'BCN'}",55.0,IBZ,BCN,Ibiza,Barcelona
"{'IBZ', 'MAD'}",75.0,IBZ,MAD,Ibiza,Madrid
"{'IBZ', 'VLC'}",50.0,IBZ,VLC,Ibiza,Valencia
"{'HHN', 'INI'}",130.0,HHN,INI,Koblenz,Niš
"{'INI', 'LJU'}",112.5,INI,LJU,Niš,Ljubljana
"{'INN', 'BRS'}",127.5,INN,BRS,Innsbruck,Bristol
"{'INN', 'EDI'}",155.0,INN,EDI,Innsbruck,Dunfermline
"{'INN', 'FRA'}",65.0,INN,FRA,Innsbruck,Frankfurt
"{'INN', 'LGW'}",123.33333333333331,INN,LGW,Innsbruck,London
"{'INN', 'MAN'}",140.0,INN,MAN,Innsbruck,Manchester
"{'INN', 'VIE'}",57.5,INN,VIE,Innsbruck,Vienna
"{'INV', 'LGW'}",97.5,INV,LGW,Forres,London
"{'IOA', 'ATH'}",72.5,IOA,ATH,Ioánnina,Athens
"{'IWA', 'LED'}",105.0,IWA,LED,Ivanovo,Saint Petersburg
"{'ATH', 'JMK'}",45.0,ATH,JMK,Athens,Ermoúpoli
"{'JTR', 'ATH'}",55.0,JTR,ATH,Firá,Athens
"{'KGD', 'LED'}",105.0,KGD,LED,Kaliningrad,Saint Petersburg
"{'VKO', 'KGD'}",115.0,VKO,KGD,Moscow,Kaliningrad
"{'KGS', 'ATH'}",61.66666666666666,KGS,ATH,Bodrum,Athens
"{'KGS', 'RHO'}",30.0,KGS,RHO,Bodrum,Ródos
"{'KGS', 'SKG'}",97.5,KGS,SKG,Bodrum,Thessaloníki
"{'KIV', 'CDG'}",195.0,KIV,CDG,Chisinau,Paris
"{'KIV', 'LIS'}",270.0,KIV,LIS,Chisinau,Lisbon
"{'KIV', 'OTP'}",72.5,KIV,OTP,Chisinau,Bucharest
"{'KJA', 'LED'}",297.5,KJA,LED,Krasnoyarsk,Saint Petersburg
"{'SVO', 'KJA'}",292.5,SVO,KJA,Moscow,Krasnoyarsk
"{'KJA', 'VKO'}",286.6666666666667,KJA,VKO,Krasnoyarsk,Moscow
"{'KRK', 'AGP'}",222.5,KRK,AGP,Kraków,Málaga
"{'KRK', 'AMS'}",120.0,KRK,AMS,Kraków,Amsterdam
"{'KRK', 'ARN'}",120.0,KRK,ARN,Kraków,Stockholm
"{'KRK', 'BCN'}",167.5,KRK,BCN,Kraków,Barcelona
"{'KRK', 'BGY'}",107.5,KRK,BGY,Kraków,Monza
"{'KRK', 'BHX'}",152.5,KRK,BHX,Kraków,Birmingham
"{'KRK', 'BLQ'}",105.0,KRK,BLQ,Kraków,Bologna
"{'KRK', 'BVA'}",135.0,KRK,BVA,Kraków,Amiens
"{'KRK', 'CAG'}",147.5,KRK,CAG,Kraków,Cagliari
"{'KRK', 'CIA'}",120.0,KRK,CIA,Kraków,Rome
"{'KRK', 'CRL'}",120.0,KRK,CRL,Kraków,Brussels
"{'KRK', 'EDI'}",165.0,KRK,EDI,Kraków,Dunfermline
"{'KRK', 'EIN'}",120.0,KRK,EIN,Kraków,Eindhoven
"{'KRK', 'GOT'}",107.5,KRK,GOT,Kraków,Gothenburg
"{'KRK', 'LGW'}",155.0,KRK,LGW,Kraków,London
"{'KRK', 'LIL'}",127.5,KRK,LIL,Kraków,Lille
"{'KRK', 'LTN'}",147.5,KRK,LTN,Kraków,London
"{'KRK', 'NYO'}",110.0,KRK,NYO,Kraków,Nyköping
"{'KRK', 'OSL'}",137.5,KRK,OSL,Kraków,Oslo
"{'KRK', 'PSA'}",115.0,KRK,PSA,Kraków,Livorno
"{'KRK', 'TGD'}",100.0,KRK,TGD,Kraków,Shkodër
"{'KRK', 'TLS'}",160.0,KRK,TLS,Kraków,Toulouse
"{'KRK', 'VIE'}",62.5,KRK,VIE,Kraków,Vienna
"{'KRK', 'VLC'}",185.0,KRK,VLC,Kraków,Valencia
"{'KRK', 'WAW'}",55.0,KRK,WAW,Kraków,Warsaw
"{'KRR', 'SVO'}",140.0,KRR,SVO,Krasnodar,Moscow
"{'KRR', 'VKO'}",132.5,KRR,VKO,Krasnodar,Moscow
"{'KRS', 'AMS'}",90.0,KRS,AMS,Kristiansand,Amsterdam
"{'KRS', 'BGO'}",50.0,KRS,BGO,Kristiansand,Bergen
"{'KSC', 'PRG'}",75.0,KSC,PRG,Košice,Prague
"{'KTW', 'ALC'}",195.0,KTW,ALC,Katowice,Alicante
"{'KTW', 'ATH'}",155.0,KTW,ATH,Katowice,Athens
"{'KTW', 'CTA'}",153.33333333333334,KTW,CTA,Katowice,Catania
"{'KTW', 'LTN'}",147.5,KTW,LTN,Katowice,London
"{'KUF', 'LED'}",143.75,KUF,LED,Samara,Saint Petersburg
"{'KUN', 'BGY'}",145.0,KUN,BGY,Kaunas,Monza
"{'KUO', 'HEL'}",60.0,KUO,HEL,Kuopio,Helsinki
"{'ATH', 'KVA'}",70.0,ATH,KVA,Athens,Kavála
"{'KVX', 'LED'}",120.0,KVX,LED,Kirov,Saint Petersburg
"{'KVX', 'SVO'}",107.5,KVX,SVO,Kirov,Moscow
"{'KVX', 'VKO'}",102.5,KVX,VKO,Kirov,Moscow
"{'KZN', 'KUF'}",50.0,KZN,KUF,Kazan,Samara
"{'KZN', 'LED'}",135.0,KZN,LED,Kazan,Saint Petersburg
"{'KZN', 'SVO'}",105.0,KZN,SVO,Kazan,Moscow
"{'KZN', 'VKO'}",105.0,KZN,VKO,Kazan,Moscow
"{'LBA', 'ACE'}",270.0,LBA,ACE,Bradford,Arrecife
"{'LBA', 'ALC'}",167.5,LBA,ALC,Bradford,Alicante
"{'LBA', 'AMS'}",80.0,LBA,AMS,Bradford,Amsterdam
"{'LBA', 'CMF'}",120.0,LBA,CMF,Bradford,Annecy
"{'LBA', 'FAO'}",182.5,LBA,FAO,Bradford,Faro
"{'LBA', 'KRK'}",152.5,LBA,KRK,Bradford,Kraków
"{'LBA', 'POZ'}",130.0,LBA,POZ,Bradford,Poznań
"{'LCG', 'MAD'}",76.66666666666667,LCG,MAD,A Coruña,Madrid
"{'CEE', 'LED'}",55.0,CEE,LED,Cherepovets,Saint Petersburg
"{'MMK', 'LED'}",110.0,MMK,LED,Murmansk,Saint Petersburg
"{'LEI', 'MAD'}",75.0,LEI,MAD,Almería,Madrid
"{'LGG', 'AGP'}",190.0,LGG,AGP,Maastricht,Málaga
"{'AGP', 'LGW'}",170.0,AGP,LGW,Málaga,London
"{'BCN', 'LGW'}",135.0,BCN,LGW,Barcelona,London
"{'OTP', 'LGW'}",225.0,OTP,LGW,Bucharest,London
"{'LHR', 'ABZ'}",95.0,LHR,ABZ,London,Aberdeen
"{'LHR', 'AGP'}",185.0,LHR,AGP,London,Málaga
"{'LHR', 'AMS'}",85.0,LHR,AMS,London,Amsterdam
"{'LHR', 'ARN'}",160.0,LHR,ARN,London,Stockholm
"{'LHR', 'ATH'}",245.0,LHR,ATH,London,Athens
"{'LHR', 'BCN'}",145.0,LHR,BCN,London,Barcelona
"{'LHR', 'BLL'}",110.0,LHR,BLL,London,Kolding
"{'LHR', 'BLQ'}",145.0,LHR,BLQ,London,Bologna
"{'LHR', 'BRU'}",71.66666666666667,LHR,BRU,London,Brussels
"{'BSL', 'LHR'}",100.0,BSL,LHR,Freiburg im Breisgau,London
"{'LHR', 'EDI'}",85.0,LHR,EDI,London,Dunfermline
"{'LHR', 'GIB'}",185.0,LHR,GIB,London,Algeciras
"{'LHR', 'GLA'}",87.5,LHR,GLA,London,Paisley
"{'LHR', 'GNB'}",110.0,LHR,GNB,London,Grenoble
"{'LHR', 'GOT'}",127.5,LHR,GOT,London,Gothenburg
"{'LHR', 'GVA'}",102.5,LHR,GVA,London,Geneva
"{'LHR', 'LIN'}",120.0,LHR,LIN,London,Milan
"{'LIS', 'LHR'}",170.0,LIS,LHR,Lisbon,London
"{'LHR', 'LYS'}",112.5,LHR,LYS,London,Lyon
"{'LHR', 'MAD'}",147.5,LHR,MAD,London,Madrid
"{'LHR', 'MXP'}",130.0,LHR,MXP,London,Novara
"{'LHR', 'NCE'}",130.0,LHR,NCE,London,Nice
"{'LHR', 'NCL'}",77.5,LHR,NCL,London,Gateshead
"{'LHR', 'OSL'}",147.5,LHR,OSL,London,Oslo
"{'LHR', 'OTP'}",200.0,LHR,OTP,London,Bucharest
