tra_infr,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
MWAY,NR,AT	126 	156 	126 	106 	118 	89 	74 	74 	71 	61 	59 	46 	50 	31 	36 	41 	34 	45 	28 	29 	26 	33 
MWAY,NR,BE	236 	192 	171 	140 	125 	161 	164 	153 	139 	150 	109 	130 	113 	128 	108 	110 	102 	98 	102 	116 	86 	81 
MWAY,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	38 	36 	37 	36 	20 	20 	39 	60 	42 	62 	58 	45 	35 	75 
MWAY,NR,CH	: 	71 	76 	58 	51 	25 	31 	47 	27 	34 	23 	22 	63 	23 	12 	21 	19 	25 	19 	24 	18 	15 
MWAY,NR,CY	: 	: 	: 	: 	: 	13 	9 	13 	7 	7 	8 	7 	3 	2 	3 	6 	1 	5 	8 	3 	4 	: 
MWAY,NR,CZ	45 	43 	53 	48 	58 	45 	37 	48 	30 	25 	28 	21 	22 	25 	23 	31 	40 	25 	35 	31 	32 	22 
MWAY,NR,DE	907 	770 	857 	811 	694 	662 	645 	602 	495 	475 	430 	453 	387 	428 	375 	414 	393 	409 	424 	356 	317 	318 
MWAY,NR,DK	29 	38 	48 	31 	27 	31 	16 	24 	31 	24 	26 	12 	8 	12 	14 	16 	25 	12 	21 	14 	14 	11 
MWAY,NR,EL	61 	86 	69 	58 	116 	111 	147 	140 	120 	108 	87 	81 	57 	79 	56 	53 	45 	54 	61 	50 	34 	38 
MWAY,NR,ES	347 	1138 	1096 	1056 	915 	841 	759 	601 	478 	453 	405 	335 	297 	290 	289 	277 	327 	308 	323 	340 	224 	316 
MWAY,NR,EU27_2020	3456 	4058 	4136 	3873 	3354 	3122 	3075 	2911 	2420 	2340 	2197 	2041 	1830 	1863 	1745 	1926 	1920 	1977 	2020 	1932 p	1468 p	1728 p
MWAY,NR,FI	13 	11 	16 	7 	17 	10 	17 	14 	9 	12 	4 	11 	13 	8 	8 	6 	7 	8 	5 	6 	9 	8 
MWAY,NR,FR	517 	482 	518 	432 	307 	323 	292 	273 	233 	225 	238 	268 	222 	238 	220 	297 	267 	281 	268 	260 	196 	243 
MWAY,NR,HR	: 	: 	: 	: 	: 	: 	: 	65 	67 	43 	33 	23 	42 	38 	22 	16 	34 	22 	28 	18 	19 	36 
MWAY,NR,HU	: 	: 	: 	58 	60 	47 	55 	61 	54 	38 	44 	49 	31 	30 	27 	34 	37 	34 	46 	48 	35 	58 
MWAY,NR,IE	4 	4 	5 	8 	6 	2 	11 	10 	2 	4 	8 	9 	5 	8 	5 	7 	6 	4 	9 	: 	: 	: 
MWAY,NR,IT	764 	773 	801 	711 	648 	577 	590 	526 	452 	350 	376 	338 	330 	321 	287 	305 	274 	296 	330 	310 	195 	246 
MWAY,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37 	12 	4 	6 	4 	10 
MWAY,NR,LU	9 	7 	12 	6 	7 	4 	6 	11 	6 	36 	29 	4 	7 	6 	3 	3 	5 	3 	9 	3 	6 	1 
MWAY,NR,NL	138 	124 	123 	151 	: 	: 	: 	: 	: 	83 	63 	43 	68 	57 	57 	79 	77 	82 	76 	75 	55 	47 
MWAY,NR,PL	44 	57 	40 	36 	35 	32 	55 	53 	35 	43 	28 	37 	44 	40 	56 	61 	50 	70 	52 	70 	55 	74 
MWAY,NR,PT	123 	110 	110 	122 	112 	93 	78 	125 	90 	84 	111 	84 	58 	44 	50 	61 	38 	51 	57 	67 	59 	44 
MWAY,NR,RO	11 	6 	10 	12 	16 	20 	46 	41 	21 	25 	18 	16 	17 	24 	21 	19 	26 	36 	24 	43 	33 	40 
MWAY,NR,SE	25 	30 	27 	30 	36 	20 	26 	21 	15 	19 	23 	18 	16 	18 	31 	15 	17 	20 	24 	20 	6 	: 
MWAY,NR,SI	57 	24 	35 	34 	37 	20 	33 	37 	13 	30 	19 	20 	20 	16 	15 	15 	25 	19 	14 	14 	6 	15 
MWAY,NR,SK	: 	7 	19 	16 	20 	21 	15 	19 	14 	9 	14 	: 	: 	: 	: 	: 	11 	21 	14 	8 	18 	12 
MWAY,NR,UK	188 	198 	226 	215 	164 	203 	185 	184 	157 	131 	112 	99 	84 	93 	81 	93 	91 	82 	99 	: 	: 	: 
MWAY,RT,AT	1.6 	1.9 	1.6 	1.3 	1.4 	1.1 	0.9 	0.9 	0.9 	0.7 	0.7 	0.5 	0.6 	0.4 	0.4 	0.5 	0.4 	0.5 	0.3 	0.3 	0.3 	0.4 
MWAY,RT,BE	2.3 	1.9 	1.7 	1.3 	1.2 	1.5 	1.6 	1.4 	1.3 	1.4 	1.0 	1.2 b	1.0 b	1.1 	1.0 	1.0 	0.9 	0.9 	0.9 	1.0 	0.7 	0.7 
MWAY,RT,BG	: 	: 	: 	: 	: 	: 	: 	: 	0.5 	0.5 	0.5 	0.5 	0.3 	0.3 	0.5 	0.8 	0.6 	0.9 	0.8 	0.6 	0.5 	1.1 
MWAY,RT,CH	: 	1.0 	1.0 	0.8 	0.7 	0.3 	0.4 	0.6 	0.4 	0.4 	0.3 	0.3 b	0.8 	0.3 	0.1 	0.3 	0.2 	0.3 	0.2 	0.3 	0.2 	0.2 
MWAY,RT,CY	: 	: 	: 	: 	: 	1.8 	1.2 	1.7 	0.9 	0.9 	1.0 	0.8 	0.3 	0.2 	0.4 	0.7 	0.1 	0.6 	0.9 	0.3 	0.4 	: 
MWAY,RT,CZ	0.4 	0.4 	0.5 	0.5 	0.6 	0.4 	0.4 	0.5 	0.3 	0.2 	0.3 	0.2 	0.2 	0.2 	0.2 	0.3 	0.4 	0.2 	0.3 	0.3 	0.3 	0.2 b
MWAY,RT,DE	1.1 	0.9 	1.0 	1.0 	0.8 	0.8 	0.8 	0.7 	0.6 	0.6 	0.5 	0.6 b	0.5 	0.5 	0.5 	0.5 	0.5 	0.5 	0.5 	0.4 	0.4 	0.4 
MWAY,RT,DK	0.5 	0.7 	0.9 	0.6 	0.5 	0.6 	0.3 	0.4 	0.6 	0.4 	0.5 	0.2 	0.1 	0.2 	0.2 	0.3 	0.4 	0.2 	0.4 	0.2 	0.2 	0.2 
MWAY,RT,EL	0.6 	0.8 	0.6 	0.5 	1.1 	1.0 	1.3 	1.3 	1.1 	1.0 	0.8 	0.7 	0.5 	0.7 	0.5 	0.5 	0.4 	0.5 	0.6 	0.5 	0.3 	0.4 
MWAY,RT,ES	0.9 	2.8 	2.6 	2.5 	2.1 	1.9 	1.7 	1.3 	1.0 	1.0 	0.9 	0.7 	0.6 	0.6 	0.6 	0.6 	0.7 	0.7 	0.7 	0.7 	0.5 	0.7 
MWAY,RT,EU27_2020	0.8 b	0.9 b	1.0 	0.9 	0.8 	0.7 	0.7 	0.7 	0.6 b	0.5 	0.5 b	0.5 b	0.4 b	0.4 	0.4 b	0.4 b	0.4 	0.4 b	0.5 e	0.4 bep	0.3 ep	0.4 bep
MWAY,RT,FI	0.3 	0.2 	0.3 	0.1 	0.3 	0.2 	0.3 	0.3 	0.2 	0.2 	0.1 	0.2 	0.2 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.2 	0.1 
MWAY,RT,FR	0.9 	0.8 	0.8 	0.7 	0.5 	0.5 	0.5 	0.4 	0.4 	0.3 	0.4 	0.4 	0.3 	0.4 	0.3 b	0.4 	0.4 	0.4 	0.4 	0.4 p	0.3 p	0.4 p
MWAY,RT,HR	: 	: 	: 	: 	: 	: 	: 	1.5 	1.6 	1.0 	0.8 	0.5 	1.0 	0.9 	0.5 	0.4 	0.8 	0.5 	0.7 	0.4 	0.5 	0.9 
MWAY,RT,HU	: 	: 	: 	0.6 	0.6 	0.5 	0.5 	0.6 	0.5 	0.4 	0.4 	0.5 	0.3 b	0.3 	0.3 	0.3 	0.4 	0.3 	0.5 	0.5 	0.4 	0.6 
MWAY,RT,IE	0.1 	0.1 	0.1 	0.2 	0.1 	0.0 	0.3 	0.2 	0.0 	0.1 	0.2 	0.2 	0.1 	0.2 	0.1 	0.1 	0.1 	0.1 	0.2 e	: 	: 	: 
MWAY,RT,IT	1.3 	1.4 	1.4 	1.2 	1.1 	1.0 	1.0 	0.9 	0.8 	0.6 	0.6 	0.6 	0.6 	0.5 	0.5 	0.5 	0.5 	0.5 	0.5 	0.5 b	0.3 	0.4 
MWAY,RT,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.3 	0.4 	0.1 	0.2 	0.1 	0.4 
MWAY,RT,LU	2.1 	1.6 	2.7 	1.3 	1.5 	0.9 	1.3 	2.3 	1.2 	7.2 	5.7 	0.8 	1.3 b	1.1 	0.5 	0.5 	0.9 	0.5 b	1.5 	0.5 	1.0 	0.2 
MWAY,RT,NL	0.9 	0.8 	0.8 	0.9 	: 	: 	: 	: 	: 	0.5 	0.4 	0.3 	0.4 	0.3 	0.3 	0.5 	0.5 	0.5 	0.4 	0.4 	0.3 	0.3 
MWAY,RT,PL	0.1 b	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 b	0.1 	0.1 	0.1 	0.1 	0.2 	0.1 	0.2 	0.1 e	0.2 e	0.1 ep	0.2 ep
MWAY,RT,PT	1.2 	1.1 	1.1 	1.2 	1.1 	0.9 	0.7 	1.2 	0.9 	0.8 	1.0 	0.8 	0.6 	0.4 	0.5 	0.6 	0.4 	0.5 	0.6 	0.7 	0.6 	0.4 bp
MWAY,RT,RO	0.0 	0.0 	0.0 	0.1 	0.1 	0.1 	0.2 	0.2 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.2 	0.1 	0.2 e	0.2 e	0.2 e
MWAY,RT,SE	0.3 	0.3 	0.3 	0.3 	0.4 	0.2 	0.3 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.3 	0.2 	0.2 	0.2 	0.2 	0.2 	0.1 	: 
MWAY,RT,SI	2.9 	1.2 	1.8 	1.7 	1.9 	1.0 	1.6 	1.8 	0.6 b	1.5 	0.9 	1.0 	1.0 	0.8 	0.7 	0.7 	1.2 	0.9 	0.7 	0.7 	0.3 	0.7 
MWAY,RT,SK	: 	0.1 	0.4 	0.3 	0.4 	0.4 	0.3 	0.4 	0.3 	0.2 	0.3 	: 	: 	: 	: 	: 	0.2 	0.4 	0.3 	0.1 	0.3 	0.2 
MWAY,RT,UK	0.3 	0.3 	0.4 	0.4 	0.3 	0.3 	0.3 	0.3 	0.3 	0.2 	0.2 	0.2 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	: 	: 	: 
RD_RUR,NR,AT	633 	586 	565 	602 	528 	477 	456 	444 	419 	399 	352 	338 	330 	309 	271 	310 	288 	262 	279 	283 	229 	230 
RD_RUR,NR,BE	831 	841 	782 	723 	742 	673 	640 	643 	531 	537 	464 	459 	456 	429 	397 	415 	371 	307 	305 	312 	232 	256 
RD_RUR,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	576 	553 	427 	385 	348 	354 	371 	379 	428 	420 	339 	351 	284 	322 
RD_RUR,NR,CH	: 	269 	273 	317 	268 	247 	215 	196 	195 	178 	190 	165 	151 	133 	138 	113 	109 	118 	111 	98 	105 	102 
RD_RUR,NR,CY	: 	: 	: 	: 	: 	28 	24 	27 	18 	22 	10 	24 	17 	12 	8 	14 	10 	10 	15 	17 	15 	: 
RD_RUR,NR,CZ	828 	765 	807 	843 	799 	738 	599 	731 	602 	547 	483 	472 	455 	388 	431 	483 	356 	359 	404 	400 	332 	323 
RD_RUR,NR,DE	4767 	4481 	4301 	4156 	3664 	3228 	3062 	3012 	2721 	2452 	2207 	2441 	2151 	1934 	2019 	1997 	1853 	1795 	1867 	1758 	1592 	1498 
RD_RUR,NR,DK	288 	268 	289 	287 	222 	205 	189 	253 	246 	187 	151 	139 	100 	120 	122 	100 	120 	110 	101 	121 	97 	74 
RD_RUR,NR,EE	: 	: 	: 	: 	: 	124 	158 	133 	91 	79 	65 	76 	: 	: 	56 	: 	51 	34 	54 	35 	42 	44 
RD_RUR,NR,EL	1282 	964 	847 	831 	788 	789 	736 	748 	689 	702 	578 	501 	432 	336 	338 	352 	352 	337 	272 	268 	225 	272 
RD_RUR,NR,ES	4338 	3380 	3316 	3405 	2906 	2786 	2586 	2456 	1965 	1658 	1500 	1261 	1140 	937 	954 	971 	964 	1013 	994 	896 	751 	800 
RD_RUR,NR,EU27_2020	27956 	26074 	25563 	24999 	23499 	22190 	21024 	21157 	19801 	17736 	15828 	15266 	14024 	12597 	12624 	12888 	12760 	12424 	12358 	11876 p	9799 p	10118 p
RD_RUR,NR,FI	280 	309 	294 	271 	276 	268 	226 	285 	227 	191 	205 	207 	186 	193 	159 	189 	188 	173 	172 	169 	152 	160 
RD_RUR,NR,FR	5290 	5386 	5067 	3941 	3673 	3331 	3071 	2988 	2807 	2796 	2621 	2599 	2404 	2098 	2171 	2175 	2188 	2156 	2015 	1943 	1497 	1732 
RD_RUR,NR,HR	: 	: 	: 	: 	: 	: 	: 	226 	183 	189 	128 	143 	121 	117 	95 	112 	97 	123 	114 	115 	76 	93 
RD_RUR,NR,HU	: 	: 	: 	790 	760 	729 	740 	666 	523 	483 	424 	355 	364 	329 	362 	349 	346 	362 	349 	331 	275 	300 
RD_RUR,NR,IE	288 	304 	269 	240 	263 	318 	292 	251 	216 	178 	159 	139 	112 	145 	127 	121 	124 	107 	78 	: 	: 	: 
RD_RUR,NR,IS	: 	: 	27 	17 	15 	16 	21 	14 	7 	12 	4 	9 	7 	11 	4 	13 	13 	9 	16 	6 	7 	5 
RD_RUR,NR,IT	3130 	2972 	3096 	3106 	2878 	2653 	2585 	2336 	2203 	1995 	1956 	1778 	1821 	1652 	1589 	1621 	1546 	1615 	1603 	1532 	1139 	1365 
RD_RUR,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	75 	95 	98 	91 	101 	69 
RD_RUR,NR,LU	47 	46 	30 	31 	26 	30 	26 	23 	20 	: 	: 	22 	20 	24 	23 	28 	19 	16 	26 	16 	15 	18 
RD_RUR,NR,LV	: 	: 	: 	: 	374 	317 	259 	254 	219 	186 	140 	126 	124 	126 	143 	144 	128 	92 	107 	92 	97 	: 
RD_RUR,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	9 	4 	5 	: 	12 	: 
RD_RUR,NR,NL	570 	534 	516 	531 	541 	485 	447 	439 	431 	332 	254 	266 	280 	203 	205 	305 	239 	236 	256 	274 	265 	254 
RD_RUR,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	156 	166 	126 	: 	153 	117 	95 	107 	84 	81 	90 	70 	65 
RD_RUR,NR,PL	3370 	2949 	3025 	2953 	2922 	2917 	2839 	2981 	2903 	2358 	2067 	2193 	1875 	1736 	1680 	1629 	1701 	1523 	1559 	1662 	1352 	1299 
RD_RUR,NR,PT	996 	833 	854 	752 	619 	605 	429 	453 	368 	358 	342 	320 	263 	241 	241 	228 	223 	223 	263 	227 	172 	185 
RD_RUR,NR,RO	458 	603 	634 	711 	729 	714 	903 	979 	1122 	1015 	866 	731 	779 	677 	651 	720 	698 	694 	660 	608 	537 	629 
RD_RUR,NR,SE	404 	373 	387 	364 	319 	310 	312 	323 	281 	243 	170 	217 	178 	181 	158 	179 	168 	161 	217 	146 	131 	: 
RD_RUR,NR,SI	156 	163 	153 	136 	154 	157 	137 	162 	128 	77 	59 	74 	68 	56 	53 	66 	62 	44 	51 	61 	45 	57 
RD_RUR,NR,SK	: 	317 	331 	326 	316 	308 	308 	344 	312 	199 	200 	: 	: 	: 	: 	: 	156 	153 	155 	168 	134 	138 
RD_RUR,NR,UK	1931 	1952 	1934 	2004 	1855 	1831 	1787 	1697 	1401 	1206 	1196 	1216 	1086 	1124 	1142 	1093 	1151 	1131 	1084 	: 	: 	: 
RD_RUR,RT,AT	7.9 	7.3 	7.0 	7.4 	6.5 	5.8 	5.5 	5.4 	5.0 	4.8 	4.2 	4.0 	3.9 	3.6 	3.2 	3.6 	3.3 	3.0 	3.2 	3.2 	2.6 	2.6 
RD_RUR,RT,BE	8.1 	8.2 	7.6 	7.0 	7.1 	6.4 	6.1 	6.1 	5.0 	5.0 	4.3 	4.2 b	4.1 b	3.8 	3.5 	3.7 	3.3 	2.7 	2.7 	2.7 	2.0 	2.2 
RD_RUR,RT,BG	: 	: 	: 	: 	: 	: 	: 	: 	7.7 	7.4 	5.8 	5.2 	4.8 	4.9 	5.1 	5.3 	6.0 	5.9 	4.8 	5.0 	4.1 	4.7 
RD_RUR,RT,CH	: 	3.7 	3.7 	4.3 	3.6 	3.3 	2.9 	2.6 	2.5 	2.3 	2.4 	2.1 b	1.9 	1.6 	1.7 	1.4 	1.3 	1.4 	1.3 	1.1 	1.2 	1.2 
RD_RUR,RT,CY	: 	: 	: 	: 	: 	3.8 	3.2 	3.5 	2.3 	2.7 	1.2 	2.8 	2.0 	1.4 	0.9 	1.7 	1.2 	1.2 	1.7 	1.9 	1.7 	: 
RD_RUR,RT,CZ	8.1 	7.5 	7.9 	8.3 	7.8 	7.2 	5.9 	7.1 	5.8 	5.2 	4.6 	4.5 	4.3 	3.7 	4.1 	4.6 	3.4 	3.4 	3.8 	3.7 	3.1 	3.1 b
RD_RUR,RT,DE	5.8 	5.4 	5.2 	5.0 	4.4 	3.9 	3.7 	3.7 	3.3 	3.0 	2.7 	3.0 b	2.7 	2.4 	2.5 	2.4 	2.3 	2.2 	2.3 	2.1 	1.9 	1.8 
RD_RUR,RT,DK	5.4 	5.0 	5.4 	5.3 	4.1 	3.8 	3.5 	4.6 	4.5 	3.4 	2.7 	2.5 	1.8 	2.1 	2.2 	1.8 	2.1 	1.9 	1.7 	2.1 	1.7 	1.3 
RD_RUR,RT,EE	: 	: 	: 	: 	: 	9.2 	11.7 	9.9 	6.8 	5.9 	4.9 	5.7 	: 	: 	4.3 	: 	3.9 	2.6 	4.1 	2.6 	3.2 	3.3 
RD_RUR,RT,EL	11.9 	8.9 	7.8 	7.6 	7.2 	7.2 	6.7 	6.8 	6.2 	6.3 	5.2 	4.5 	3.9 	3.1 	3.1 	3.3 	3.3 	3.1 	2.5 	2.5 	2.1 	2.6 
