Airport;Country;IATA airport code;ICAO airport code
Tirana;Albania;TIA;LATI
Yerevan;Armenia;EVN;UDYZ
Graz;Austria;GRZ;LOWG
Innsbruck;Austria;INN;LOWI
Klagenfurt;Austria;KLU;LOWK
Linz;Austria;LNZ;LOWL
Salzburg;Austria;SZG;LOWS
Vienna;Austria;VIE;LOWW
Baku;Azerbaijan;GYD;UBBB
Minsk;Belarus;MSQ;UMMS
Antwerp;Belgium;ANR;EBAW
Brussels;Belgium;BRU;EBBR
Charleroi;Belgium;CRL;EBCI
Liege;Belgium;LGG;EBLG
Ostend;Belgium;OST;EBOS
Sarajevo;Bosnia and Herzegovina;SJJ;LQSA
Tuzla;Bosnia and Herzegovina;TZL;LQTZ
Burgas;Bulgaria;BOJ;LBBG
Sofia;Bulgaria;SOF;LBSF
Varna;Bulgaria;VAR;LBWN
Dubrovnik;Croatia;DBV;LDDU
Pula;Croatia;PUY;LDPL
Rijeka;Croatia;RJK;LDRI
Split;Croatia;SPU;LDSP
Zadar;Croatia;ZAD;LDZD
Zagreb;Croatia;ZAG;LDZA
Larnaca;Cyprus;LCA;LCLK
Paphos;Cyprus;PFO;LCPH
Brno;Czech Republic;BRQ;LKTB
Prague;Czech Republic;PRG;LKPR
Aalborg;Denmark;AAL;EKYT
Aarhus;Denmark;AAR;EKAH
Billund;Denmark;BLL;EKBI
Copenhagen;Denmark;CPH;EKCH
Vágar;Denmark;FAE;EKVG
Tallinn;Estonia;TLL;EETN
Helsinki;Finland;HEL;EFHK
Kittilä;Finland;KTT;EFKT
Oulu;Finland;OUL;EFOU
Rovaniemi;Finland;RVN;EFRO
Tampere;Finland;TMP;EFTP
Turku;Finland;TKU;EFTU
Vaasa;Finland;VAA;EFVA
Ajaccio;France;AJA;LFKJ
Bastia;France;BIA;LFKB
Bergerac;France;EGC;LFBE
Biarritz;France;BIQ;LFBZ
Bordeaux;France;BOD;LFBD
Brest;France;BES;LFRB
Figari;France;FSC;LFKF
Lille;France;LIL;LFQQ
Lyon-Saint;France;LYS;LFLL
Marseille;France;MRS;LFML
Montpellier;France;MPL;LFMT
Nantes;France;NTE;LFRS
Nice;France;NCE;LFMN
Paris;France;BVA;LFOB
Paris;France;CDG;LFPG
Paris;France;ORY;LFPO
Rennes;France;RNS;LFRN
Réunion;France;RUN;FMEE
Strasbourg;France;SXB;LFST
Toulon-Hyères;France;TLN;LFTH
Toulouse;France;TLS;LFBO
Kutaisi;Georgia;KUT;UGKO
Tbilisi;Georgia;TBS;UGTB
Allgäu;Germany;FMM;EDJA
Berlin;Germany;BER;EDDB
Bremen;Germany;BRE;EDDW
Cologne;Germany;CGN;EDDK
Dortmund;Germany;DTM;EDLW
Dresden;Germany;DRS;EDDC
Düsseldorf;Germany;DUS;EDDL
Frankfurt;Germany;FRA;EDDF
Frankfurt-Hahn;Germany;HHN;EDFH
Friedrichshafen;Germany;FDH;EDNY
Hamburg;Germany;HAM;EDDH
Hanover;Germany;HAJ;EDDV
Karlsruhe;Germany;FKB;EDSB
Leipzig;Germany;LEJ;EDDP
Munich;Germany;MUC;EDDM
Münster;Germany;FMO;EDDG
Nuremberg;Germany;NUE;EDDN
Paderborn;Germany;PAD;EDLP
Stuttgart;Germany;STR;EDDS
Weeze;Germany;NRN;EDLV
Aktion;Greece;PVK;LGPZ
Athens;Greece;ATH;LGAV
Chania;Greece;CHQ;LGSA
Corfu;Greece;CFU;LGKR
Heraklion;Greece;HER;LGIR
Kefalonia;Greece;EFL;LGKF
Kos;Greece;KGS;LGKO
Lesvos;Greece;MJT;LGMT
Mykonos;Greece;JMK;LGMK
Rhodes;Greece;RHO;LGRP
Samos;Greece;SMI;LGSM
Santorini;Greece;JTR;LGSR
Skiathos;Greece;JSI;LGSK
Thessaloniki;Greece;SKG;LGTS
Zante;Greece;ZTH;LGZA
Budapest;Hungary;BUD;LHBP
Debrecen;Hungary;DEB;LHDC
Keflavik;Iceland;KEF;BIKF
Cork;Ireland;ORK;EICK
Dublin;Ireland;DUB;EIDW
Ireland;Ireland;NOC;EIKN
Kerry;Ireland;KIR;EIKY
Shannon;Ireland;SNN;EINN
Alghero;Italy;AHO;LIEA
Ancona;Italy;AOI;LIPY
Bari;Italy;BRI;LIBD
Bergamo;Italy;BGY;LIME
Bologna;Italy;BLQ;LIPE
Brindisi;Italy;BDS;LIBR
Cagliari;Italy;CAG;LIEE
Catania;Italy;CTA;LICC
Comiso;Italy;CIY;LICB
Florence;Italy;FLR;LIRQ
Genoa;Italy;GOA;LIMJ
Lamezia;Italy;SUF;LICA
Milan;Italy;LIN;LIML
Milan;Italy;MXP;LIMC
Naples;Italy;NAP;LIRN
Olbia;Italy;OLB;LIEO
Palermo;Italy;PMO;LICJ
Perugia;Italy;PEG;LIRZ
Pescara;Italy;PSR;LIBP
Pisa;Italy;PSA;LIRP
Rome;Italy;CIA;LIRA
Rome;Italy;FCO;LIRF
Trapani;Italy;TPS;LICT
Treviso;Italy;TSF;LIPH
Trieste;Italy;TRS;LIPQ
Turin;Italy;TRN;LIMF
Venice;Italy;VCE;LIPZ
Verona;Italy;VRN;LIPX
Almaty;Kazakhstan;ALA;UAAA
Nursultan;Kazakhstan;TSE;UACC
Pristina;Kosovo;PRN;BKPR
Riga;Latvia;RIX;EVRA
Kaunas;Lithuania;KUN;EYKA
Vilnius;Lithuania;VNO;EYVI
Luxembourg;Luxembourg;LUX;ELLX
Malta;Malta;MLA;LMML
Chisinau;Moldova;KIV;LUKK
Podgorica;Montenegro;TGD;LYPG
Tivat;Montenegro;TIV;LYTV
Amsterdam;Netherlands;AMS;EHAM
Eindhoven;Netherlands;EIN;EHEH
Groningen;Netherlands;GRQ;EHGG
Maastricht;Netherlands;MST;EHBK
Rotterdam;Netherlands;RTM;EHRD
Skopje;North Macedonia;SKP;LWSK
Ålesund;Norway;AES;ENAL
Bergen;Norway;BGO;ENBR
Bodø;Norway;BOO;ENBO
Haugesund;Norway;HAU;ENHD
Kristiansand;Norway;KRS;ENCN
Oslo;Norway;OSL;ENGM
Sandefjord;Norway;TRF;ENTO
Stavanger;Norway;SVG;ENZV
Tromsø;Norway;TOS;ENTC
Trondheim;Norway;TRD;ENVA
Gdansk;Poland;GDN;EPGD
Katowice;Poland;KTW;EPKT
Kraków;Poland;KRK;EPKK
Poznan;Poland;POZ;EPPO
Szczecin-Goleniów;Poland;SZZ;EPSC
Warsaw;Poland;WAW;EPWA
Warsaw;Poland;WMI;EPMO
Wroclaw;Poland;WRO;EPWR
Faro;Portugal;FAO;LPFR
Lisbon;Portugal;LIS;LPPT
Madeira;Portugal;FNC;LPMA
Ponta;Portugal;PDL;LPPD
Porto;Portugal;OPO;LPPR
Bucharest;Romania;OTP;LROP
Cluj-Napoca;Romania;CLJ;LRCL
Iasi;Romania;IAS;LRIA
Sibiu;Romania;SBZ;LRSB
Timisoara;Romania;TSR;LRTR
Krasnodar;Russia;KRR;URKK
Moscow;Russia;DME;UUDD
Moscow;Russia;SVO;UUEE
Moscow;Russia;VKO;UUWW
Saint;Russia;LED;ULLI
Sochi;Russia;AER;URSS
Belgrade;Serbia;BEG;LYBE
Ni_;Serbia;INI;LYNI
Bratislava;Slovakia;BTS;LZIB
Ko_ice;Slovakia;KSC;LZKZ
Ljubljana;Slovenia;LJU;LJLJ
Alicante;Spain;ALC;LEAL
Almeria;Spain;LEI;LEAM
Asturias;Spain;OVD;LEAS
Barcelona;Spain;BCN;LEBL
Bilbao;Spain;BIO;LEBB
Fuerteventura;Spain;FUE;GCFV
Girona;Spain;GRO;LEGE
Gran;Spain;LPA;GCLP
Granada-Jaén;Spain;GRX;LEGR
Ibiza;Spain;IBZ;LEIB
Jerez;Spain;XRY;LEJR
La;Spain;SPC;GCLA
Lanzarote;Spain;ACE;GCRR
Madrid;Spain;MAD;LEMD
Malaga;Spain;AGP;LEMG
Menorca;Spain;MAH;LEMH
Palma;Spain;PMI;LEPA
Región;Spain;RMU;LEMI
Reus;Spain;REU;LERS
Santander;Spain;SDR;LEXJ
Santiago;Spain;SCQ;LEST
Seville;Spain;SVQ;LEZL
Tenerife;Spain;TFN;GCXO
Tenerife;Spain;TFS;GCTS
Valencia;Spain;VLC;LEVC
Zaragoza;Spain;ZAZ;LEZG
Gothenburg;Sweden;GOT;ESGG
Malmö;Sweden;MMX;ESMS
Stockholm;Sweden;ARN;ESSA
Stockholm;Sweden;BMA;ESSB
Stockholm;Sweden;NYO;ESKN
Basel;Switzerland;BSL;LFSB
Geneva;Switzerland;GVA;LSGG
Zurich;Switzerland;ZRH;LSZH
Adana;Turkey;ADA;LTAF
Ankara;Turkey;ESB;LTAC
Antalya;Turkey;AYT;LTAI
Dalaman;Turkey;DLM;LTBS
Istanbul;Turkey;IST;LTFM
Istanbul;Turkey;SAW;LTFJ
Izmir;Turkey;ADB;LTBJ
Milas-Bodrum;Turkey;BJV;LTFE
Trabzon;Turkey;TZX;LTCG
Kharkiv;Ukraine;HRK;UKHH
Kiev;Ukraine;KBP;UKBB
Kiev;Ukraine;IEV;UKKK
Lviv;Ukraine;LWO;UKLL
Odessa;Ukraine;ODS;UKOO
Aberdeen;United Kingdom;ABZ;EGPD
Belfast;United Kingdom;BHD;EGAC
Belfast;United Kingdom;BFS;EGAA
Birmingham;United Kingdom;BHX;EGBB
Bristol;United Kingdom;BRS;EGGD
Cardiff;United Kingdom;CWL;EGFF
East;United Kingdom;EMA;EGNX
Edinburgh;United Kingdom;EDI;EGPH
Exeter;United Kingdom;EXT;EGTE
Glasgow;United Kingdom;GLA;EGPF
Glasgow;United Kingdom;PIK;EGPK
Jersey;United Kingdom;JER;EGJJ
Leeds;United Kingdom;LBA;EGNM
Liverpool;United Kingdom;LPL;EGGP
London;United Kingdom;LCY;EGLC
London;United Kingdom;LGW;EGKK
London;United Kingdom;LHR;EGLL
London;United Kingdom;LTN;EGGW
London;United Kingdom;SEN;EGMC
London;United Kingdom;STN;EGSS
Manchester;United Kingdom;MAN;EGCC
Newcastle;United Kingdom;NCL;EGNT
Southampton;United Kingdom;SOU;EGHI